city,area_type,time_slot,traffic_level,avg_delay_minutes,risk_weight
Hyderabad,URBAN,MORNING,LOW,14,0.15
Chennai,OLD_CITY,AFTERNOON,MEDIUM,24,0.61
Pune,URBAN,MORNING,LOW,25,0.81
Hyderabad,URBAN,AFTERNOON,LOW,83,0.54
Mumbai,OLD_CITY,EVENING,HIGH,16,0.78
Bengaluru,URBAN,MORNING,MEDIUM,32,0.41
Bengaluru,URBAN,MORNING,LOW,19,0.46
Hyderabad,URBAN,EVENING,MEDIUM,28,0.27
Kolkata,OLD_CITY,AFTERNOON,MEDIUM,24,0.44
Pune,OLD_CITY,MORNING,MEDIUM,1,0.5
Mumbai,OLD_CITY,EVENING,MEDIUM,68,0.81
Delhi,OLD_CITY,MORNING,LOW,78,0.4
Mumbai,OLD_CITY,AFTERNOON,LOW,24,0.8
Chennai,OLD_CITY,EVENING,LOW,30,0.91
Delhi,URBAN,AFTERNOON,MEDIUM,87,0.68
Kolkata,OLD_CITY,EVENING,LOW,25,0.56
Delhi,URBAN,EVENING,HIGH,16,0.41
Pune,OLD_CITY,AFTERNOON,HIGH,16,0.92
Chennai,URBAN,EVENING,HIGH,33,0.96
Chennai,OLD_CITY,AFTERNOON,HIGH,57,0.54
Chennai,URBAN,MORNING,LOW,89,0.47
Kolkata,OLD_CITY,EVENING,LOW,35,0.88
Chennai,URBAN,EVENING,HIGH,8,0.51
Mumbai,URBAN,MORNING,LOW,22,0.82
Chennai,URBAN,EVENING,HIGH,19,0.68
Bengaluru,OLD_CITY,EVENING,LOW,8,0.73
Delhi,URBAN,MORNING,MEDIUM,25,0.38
Chennai,OLD_CITY,AFTERNOON,HIGH,71,0.49
Pune,URBAN,EVENING,HIGH,38,0.87
Kolkata,URBAN,EVENING,HIGH,11,0.6
Chennai,OLD_CITY,MORNING,HIGH,65,0.92
Bengaluru,URBAN,EVENING,LOW,67,0.17
Chennai,URBAN,EVENING,MEDIUM,60,0.7
Mumbai,OLD_CITY,AFTERNOON,MEDIUM,50,0.5
Hyderabad,URBAN,EVENING,LOW,24,0.43
Mumbai,URBAN,AFTERNOON,MEDIUM,82,0.78
Chennai,URBAN,EVENING,MEDIUM,54,0.67
Kolkata,URBAN,MORNING,MEDIUM,56,0.67
Pune,OLD_CITY,AFTERNOON,MEDIUM,54,0.69
Pune,OLD_CITY,AFTERNOON,HIGH,10,0.11
Mumbai,URBAN,MORNING,MEDIUM,15,0.83
Bengaluru,OLD_CITY,EVENING,MEDIUM,56,0.69
Mumbai,URBAN,MORNING,HIGH,72,0.73
Chennai,OLD_CITY,AFTERNOON,LOW,87,0.24
Hyderabad,OLD_CITY,MORNING,HIGH,14,0.45
Bengaluru,OLD_CITY,MORNING,LOW,16,0.67
Mumbai,OLD_CITY,MORNING,MEDIUM,67,0.74
Hyderabad,URBAN,MORNING,LOW,64,0.24
Kolkata,URBAN,EVENING,HIGH,56,0.91
Hyderabad,URBAN,MORNING,LOW,5,0.44
Chennai,OLD_CITY,EVENING,MEDIUM,74,0.61
Pune,OLD_CITY,MORNING,LOW,73,0.33
Kolkata,OLD_CITY,EVENING,MEDIUM,15,0.33
Bengaluru,URBAN,AFTERNOON,HIGH,63,0.19
Chennai,URBAN,MORNING,HIGH,51,0.77
Delhi,OLD_CITY,EVENING,HIGH,60,0.98
Hyderabad,OLD_CITY,AFTERNOON,LOW,32,0.84
Hyderabad,OLD_CITY,EVENING,MEDIUM,44,0.74
Delhi,URBAN,EVENING,LOW,72,0.2
Kolkata,URBAN,AFTERNOON,LOW,52,0.99
Chennai,OLD_CITY,AFTERNOON,LOW,87,0.84
Hyderabad,URBAN,MORNING,MEDIUM,1,0.38
Bengaluru,OLD_CITY,AFTERNOON,MEDIUM,70,0.17
Chennai,URBAN,MORNING,MEDIUM,61,0.63
Bengaluru,OLD_CITY,MORNING,HIGH,5,0.85
Chennai,URBAN,AFTERNOON,MEDIUM,69,0.17
Delhi,OLD_CITY,EVENING,MEDIUM,14,0.33
Hyderabad,OLD_CITY,AFTERNOON,HIGH,35,0.35
Kolkata,OLD_CITY,EVENING,MEDIUM,79,0.93
Hyderabad,OLD_CITY,MORNING,HIGH,73,0.3
Chennai,OLD_CITY,EVENING,HIGH,66,0.32
Kolkata,OLD_CITY,MORNING,MEDIUM,35,0.2
Pune,OLD_CITY,MORNING,MEDIUM,69,0.29
Bengaluru,OLD_CITY,EVENING,HIGH,5,0.99
Mumbai,URBAN,MORNING,MEDIUM,66,0.88
Delhi,OLD_CITY,EVENING,HIGH,73,0.7
Kolkata,OLD_CITY,EVENING,LOW,79,0.61
Delhi,OLD_CITY,EVENING,MEDIUM,10,0.21
Pune,OLD_CITY,AFTERNOON,LOW,70,0.87
Kolkata,URBAN,EVENING,HIGH,2,0.2
Bengaluru,URBAN,MORNING,LOW,7,0.15
Chennai,OLD_CITY,MORNING,MEDIUM,53,0.23
Pune,OLD_CITY,AFTERNOON,LOW,25,0.93
Hyderabad,OLD_CITY,MORNING,LOW,25,0.8
Pune,OLD_CITY,MORNING,LOW,47,0.48
Hyderabad,URBAN,EVENING,MEDIUM,23,0.51
Kolkata,OLD_CITY,EVENING,HIGH,51,0.25
Kolkata,OLD_CITY,MORNING,MEDIUM,8,0.77
Mumbai,OLD_CITY,EVENING,HIGH,18,0.34
Chennai,OLD_CITY,MORNING,LOW,5,0.89
Pune,URBAN,MORNING,HIGH,23,0.54
Bengaluru,OLD_CITY,EVENING,HIGH,70,0.66
Bengaluru,URBAN,MORNING,MEDIUM,81,0.79
Pune,URBAN,MORNING,LOW,71,0.13
Chennai,URBAN,AFTERNOON,LOW,89,0.87
Kolkata,OLD_CITY,EVENING,HIGH,52,0.69
Delhi,URBAN,AFTERNOON,MEDIUM,4,0.81
Bengaluru,OLD_CITY,AFTERNOON,LOW,17,0.99
Delhi,OLD_CITY,AFTERNOON,MEDIUM,71,0.45
Bengaluru,OLD_CITY,EVENING,HIGH,37,0.74
Kolkata,OLD_CITY,EVENING,HIGH,51,0.59
Kolkata,URBAN,MORNING,LOW,59,0.54
Delhi,OLD_CITY,MORNING,HIGH,89,0.26
Pune,OLD_CITY,AFTERNOON,MEDIUM,68,0.75
Pune,URBAN,AFTERNOON,LOW,0,0.27
Chennai,URBAN,EVENING,LOW,30,0.83
Chennai,URBAN,AFTERNOON,LOW,62,0.46
Hyderabad,OLD_CITY,MORNING,LOW,10,0.27
Kolkata,URBAN,MORNING,MEDIUM,74,0.69
Delhi,OLD_CITY,EVENING,LOW,14,0.17
Delhi,URBAN,EVENING,LOW,8,0.73
Pune,OLD_CITY,MORNING,MEDIUM,68,0.63
Pune,URBAN,EVENING,MEDIUM,63,0.94
Bengaluru,OLD_CITY,MORNING,HIGH,55,0.77
Hyderabad,URBAN,AFTERNOON,MEDIUM,64,0.67
Mumbai,OLD_CITY,EVENING,MEDIUM,32,0.29
Bengaluru,OLD_CITY,AFTERNOON,HIGH,71,0.85
Bengaluru,OLD_CITY,MORNING,MEDIUM,19,0.21
Bengaluru,URBAN,AFTERNOON,HIGH,52,0.93
Hyderabad,OLD_CITY,MORNING,LOW,70,0.23
Chennai,URBAN,AFTERNOON,HIGH,85,0.61
Chennai,URBAN,AFTERNOON,MEDIUM,20,0.77
Delhi,URBAN,EVENING,MEDIUM,6,0.78
Kolkata,OLD_CITY,EVENING,HIGH,9,0.2
Pune,URBAN,EVENING,MEDIUM,8,0.72
Pune,URBAN,EVENING,HIGH,86,0.26
Mumbai,URBAN,EVENING,MEDIUM,13,0.78
Bengaluru,OLD_CITY,EVENING,HIGH,77,0.73
Pune,URBAN,EVENING,HIGH,84,0.73
Pune,URBAN,AFTERNOON,HIGH,82,0.7
Delhi,URBAN,MORNING,MEDIUM,30,0.21
Delhi,URBAN,AFTERNOON,MEDIUM,43,0.83
Pune,OLD_CITY,AFTERNOON,MEDIUM,6,0.63
Hyderabad,URBAN,MORNING,MEDIUM,37,1.0
Chennai,URBAN,MORNING,HIGH,61,0.32
Pune,OLD_CITY,MORNING,MEDIUM,2,0.5
Bengaluru,OLD_CITY,EVENING,HIGH,61,0.12
Mumbai,OLD_CITY,EVENING,HIGH,24,0.83
Hyderabad,URBAN,EVENING,MEDIUM,9,0.21
Delhi,OLD_CITY,AFTERNOON,LOW,44,0.74
Mumbai,URBAN,AFTERNOON,HIGH,60,0.64
Hyderabad,OLD_CITY,AFTERNOON,HIGH,70,0.94
Pune,OLD_CITY,AFTERNOON,LOW,81,0.22
Kolkata,OLD_CITY,EVENING,HIGH,27,0.77
Mumbai,OLD_CITY,MORNING,HIGH,42,1.0
Mumbai,OLD_CITY,MORNING,LOW,20,0.98
Delhi,OLD_CITY,EVENING,LOW,85,0.24
Mumbai,OLD_CITY,EVENING,HIGH,84,0.43
Pune,OLD_CITY,EVENING,MEDIUM,35,0.27
Delhi,URBAN,AFTERNOON,HIGH,36,0.87
Bengaluru,OLD_CITY,MORNING,MEDIUM,19,0.1
Kolkata,URBAN,MORNING,HIGH,66,0.71
Mumbai,URBAN,MORNING,LOW,20,0.64
Mumbai,OLD_CITY,AFTERNOON,LOW,49,0.92
Chennai,URBAN,EVENING,MEDIUM,5,0.12
Kolkata,URBAN,EVENING,HIGH,17,0.81
Pune,OLD_CITY,EVENING,LOW,88,0.15
Chennai,URBAN,AFTERNOON,HIGH,43,0.47
Hyderabad,URBAN,MORNING,MEDIUM,2,0.18
Pune,URBAN,MORNING,HIGH,86,0.43
Kolkata,OLD_CITY,AFTERNOON,LOW,25,0.5
Hyderabad,URBAN,EVENING,MEDIUM,50,0.26
Hyderabad,OLD_CITY,MORNING,MEDIUM,86,0.17
Mumbai,URBAN,EVENING,HIGH,28,0.58
Pune,URBAN,EVENING,LOW,87,0.25
Bengaluru,OLD_CITY,MORNING,LOW,16,0.28
Delhi,OLD_CITY,EVENING,LOW,63,0.74
Chennai,OLD_CITY,EVENING,MEDIUM,42,0.79
Kolkata,OLD_CITY,EVENING,LOW,38,0.88
Hyderabad,URBAN,EVENING,LOW,87,0.47
Hyderabad,OLD_CITY,EVENING,LOW,38,0.12
Mumbai,URBAN,MORNING,LOW,70,0.79
Mumbai,URBAN,EVENING,HIGH,50,0.13
Hyderabad,OLD_CITY,MORNING,LOW,72,0.98
Mumbai,OLD_CITY,EVENING,LOW,51,0.67
Mumbai,OLD_CITY,MORNING,LOW,22,0.52
Chennai,URBAN,AFTERNOON,MEDIUM,86,0.84
Mumbai,OLD_CITY,EVENING,MEDIUM,26,0.29
Kolkata,URBAN,EVENING,MEDIUM,8,0.72
Pune,OLD_CITY,MORNING,HIGH,86,0.38
Hyderabad,OLD_CITY,MORNING,HIGH,33,0.25
Mumbai,URBAN,MORNING,MEDIUM,22,0.77
Delhi,OLD_CITY,AFTERNOON,HIGH,25,0.86
Hyderabad,OLD_CITY,AFTERNOON,MEDIUM,87,0.63
Hyderabad,URBAN,EVENING,HIGH,43,0.24
Pune,URBAN,MORNING,MEDIUM,34,0.36
Mumbai,URBAN,MORNING,MEDIUM,68,0.86
Bengaluru,URBAN,AFTERNOON,HIGH,71,0.41
Mumbai,URBAN,EVENING,MEDIUM,62,0.43
Pune,URBAN,EVENING,MEDIUM,77,0.88
Mumbai,URBAN,MORNING,MEDIUM,29,0.72
Kolkata,URBAN,MORNING,LOW,42,0.63
Hyderabad,URBAN,EVENING,LOW,75,0.83
Hyderabad,OLD_CITY,MORNING,LOW,62,0.69
Delhi,URBAN,EVENING,LOW,24,0.64
Mumbai,URBAN,EVENING,LOW,44,0.45
Pune,URBAN,AFTERNOON,MEDIUM,31,0.48
Mumbai,URBAN,MORNING,LOW,67,0.9
Bengaluru,URBAN,MORNING,HIGH,53,0.25
Mumbai,OLD_CITY,AFTERNOON,MEDIUM,6,0.5
Hyderabad,OLD_CITY,AFTERNOON,HIGH,20,0.42
Mumbai,URBAN,AFTERNOON,LOW,27,0.43
Mumbai,URBAN,EVENING,LOW,28,0.18
Pune,URBAN,MORNING,MEDIUM,4,0.42
Hyderabad,URBAN,EVENING,LOW,80,0.34
Chennai,URBAN,AFTERNOON,LOW,22,0.53
Bengaluru,URBAN,MORNING,HIGH,76,0.96
Pune,URBAN,AFTERNOON,MEDIUM,3,0.93
Mumbai,OLD_CITY,EVENING,HIGH,5,0.44
Delhi,URBAN,AFTERNOON,HIGH,66,0.33
Mumbai,OLD_CITY,AFTERNOON,LOW,1,0.73
Bengaluru,URBAN,MORNING,MEDIUM,15,0.92
Delhi,OLD_CITY,MORNING,HIGH,36,0.21
Mumbai,OLD_CITY,MORNING,MEDIUM,87,0.77
Pune,URBAN,EVENING,HIGH,76,0.63
Chennai,OLD_CITY,AFTERNOON,MEDIUM,58,0.92
Chennai,URBAN,AFTERNOON,LOW,39,0.16
Pune,URBAN,EVENING,MEDIUM,31,0.6
Hyderabad,OLD_CITY,EVENING,LOW,41,0.44
Mumbai,URBAN,AFTERNOON,HIGH,17,0.58
Kolkata,URBAN,EVENING,MEDIUM,48,0.37
Pune,URBAN,AFTERNOON,MEDIUM,10,0.78
Mumbai,OLD_CITY,AFTERNOON,HIGH,43,0.44
Hyderabad,URBAN,AFTERNOON,HIGH,60,0.97
Pune,OLD_CITY,MORNING,MEDIUM,61,0.58
Delhi,URBAN,MORNING,MEDIUM,47,0.43
Bengaluru,OLD_CITY,EVENING,LOW,19,0.33
Hyderabad,URBAN,AFTERNOON,LOW,13,0.6
Kolkata,URBAN,AFTERNOON,HIGH,43,0.82
Delhi,URBAN,AFTERNOON,HIGH,72,0.24
Mumbai,OLD_CITY,EVENING,MEDIUM,43,0.49
Bengaluru,URBAN,EVENING,HIGH,68,0.54
Hyderabad,URBAN,MORNING,HIGH,18,0.12
Delhi,URBAN,AFTERNOON,LOW,16,0.87
Chennai,OLD_CITY,EVENING,HIGH,5,0.34
Bengaluru,URBAN,AFTERNOON,LOW,55,0.16
Bengaluru,URBAN,MORNING,HIGH,87,0.6
Chennai,OLD_CITY,AFTERNOON,HIGH,68,0.75
Hyderabad,OLD_CITY,MORNING,LOW,38,0.37
Kolkata,OLD_CITY,MORNING,LOW,34,0.84
Kolkata,OLD_CITY,MORNING,MEDIUM,18,0.22
Kolkata,OLD_CITY,EVENING,MEDIUM,25,0.27
Mumbai,URBAN,AFTERNOON,MEDIUM,70,0.91
Pune,OLD_CITY,AFTERNOON,HIGH,68,0.14
Mumbai,URBAN,MORNING,LOW,35,0.86
Mumbai,URBAN,EVENING,HIGH,13,0.99
Hyderabad,OLD_CITY,AFTERNOON,HIGH,77,0.16
Delhi,URBAN,EVENING,MEDIUM,68,0.35
Mumbai,OLD_CITY,EVENING,HIGH,64,0.81
Delhi,OLD_CITY,MORNING,HIGH,30,0.63
Delhi,OLD_CITY,EVENING,MEDIUM,66,0.68
Delhi,URBAN,MORNING,MEDIUM,22,0.49
Bengaluru,URBAN,AFTERNOON,MEDIUM,49,0.66
Hyderabad,OLD_CITY,EVENING,HIGH,51,0.71
Kolkata,OLD_CITY,AFTERNOON,LOW,84,0.22
Hyderabad,OLD_CITY,EVENING,MEDIUM,41,0.84
Mumbai,OLD_CITY,EVENING,MEDIUM,1,0.96
Bengaluru,URBAN,MORNING,MEDIUM,83,0.19
Kolkata,OLD_CITY,AFTERNOON,LOW,9,0.92
Pune,OLD_CITY,EVENING,HIGH,28,0.71
Pune,URBAN,EVENING,LOW,73,0.88
Pune,OLD_CITY,MORNING,LOW,18,0.51
Chennai,OLD_CITY,EVENING,LOW,3,0.39
Chennai,URBAN,MORNING,LOW,17,0.68
Chennai,OLD_CITY,MORNING,MEDIUM,34,0.25
Bengaluru,URBAN,EVENING,MEDIUM,78,0.85
Delhi,OLD_CITY,AFTERNOON,HIGH,17,0.65
Hyderabad,URBAN,AFTERNOON,LOW,89,0.35
Mumbai,URBAN,EVENING,HIGH,88,0.12
Kolkata,URBAN,EVENING,MEDIUM,1,0.41
Chennai,OLD_CITY,MORNING,HIGH,60,0.95
Kolkata,URBAN,MORNING,LOW,58,0.93
Bengaluru,URBAN,MORNING,HIGH,40,0.9
Hyderabad,OLD_CITY,EVENING,HIGH,25,0.11
Delhi,URBAN,MORNING,LOW,13,0.55
Delhi,URBAN,EVENING,HIGH,72,0.67
Chennai,OLD_CITY,AFTERNOON,LOW,48,0.25
Mumbai,OLD_CITY,AFTERNOON,MEDIUM,69,0.8
Kolkata,OLD_CITY,AFTERNOON,MEDIUM,26,0.49
Pune,URBAN,AFTERNOON,LOW,44,0.8
Mumbai,OLD_CITY,AFTERNOON,MEDIUM,16,0.12
Chennai,URBAN,AFTERNOON,LOW,87,0.11
Chennai,OLD_CITY,EVENING,LOW,30,0.37
Chennai,URBAN,AFTERNOON,HIGH,10,0.7
Kolkata,URBAN,EVENING,MEDIUM,77,0.7
Hyderabad,OLD_CITY,AFTERNOON,HIGH,55,0.54
Pune,OLD_CITY,AFTERNOON,MEDIUM,11,0.64
