vehicle_type,max_weight_kg,max_volume_cm3,allowed_area_type,allowed_address_type,fuel_type,last_mile_suitable
TRUCK,5,20000,URBAN,RESIDENTIAL,EV,False
VAN,3000,2000000,URBAN,RESIDENTIAL,DIESEL,False
VAN,5,20000,OLD_CITY,COMMERCIAL,PETROL,True
TRUCK,50,500000,RURAL,COMMERCIAL,EV,True
VAN,50,2000000,URBAN,RESIDENTIAL,PETROL,True
BIKE,5,20000,RURAL,RESIDENTIAL,DIESEL,True
TRUCK,3000,20000,URBAN,COMMERCIAL,PETROL,False
VAN,3000,2000000,OLD_CITY,RESIDENTIAL,DIESEL,False
TRUCK,50,20000,RURAL,RESIDENTIAL,PETROL,False
BIKE,3000,20000,RURAL,COMMERCIAL,EV,True
TRUCK,5,20000,OLD_CITY,RESIDENTIAL,EV,True
VAN,50,2000000,RURAL,RESIDENTIAL,PETROL,False
BIKE,3000,2000000,RURAL,RESIDENTIAL,PETROL,True
VAN,3000,2000000,OLD_CITY,RESIDENTIAL,PETROL,True
BIKE,3000,2000000,URBAN,RESIDENTIAL,DIESEL,True
TRUCK,3000,2000000,RURAL,COMMERCIAL,DIESEL,True
TRUCK,50,2000000,RURAL,RESIDENTIAL,DIESEL,True
BIKE,3000,20000,URBAN,COMMERCIAL,EV,True
TRUCK,50,20000,RURAL,RESIDENTIAL,EV,False
VAN,3000,500000,URBAN,RESIDENTIAL,DIESEL,True
VAN,3000,500000,OLD_CITY,RESIDENTIAL,PETROL,True
BIKE,50,2000000,URBAN,RESIDENTIAL,PETROL,True
VAN,50,2000000,RURAL,COMMERCIAL,PETROL,False
BIKE,50,500000,RURAL,RESIDENTIAL,PETROL,True
VAN,3000,2000000,RURAL,COMMERCIAL,PETROL,False
VAN,3000,500000,OLD_CITY,COMMERCIAL,EV,True
VAN,3000,500000,RURAL,RESIDENTIAL,EV,True
TRUCK,50,20000,RURAL,COMMERCIAL,DIESEL,False
BIKE,50,500000,URBAN,RESIDENTIAL,EV,True
TRUCK,5,2000000,OLD_CITY,COMMERCIAL,DIESEL,False
VAN,5,2000000,OLD_CITY,RESIDENTIAL,PETROL,True
VAN,50,20000,OLD_CITY,RESIDENTIAL,EV,False
TRUCK,50,20000,RURAL,RESIDENTIAL,DIESEL,True
BIKE,50,20000,OLD_CITY,RESIDENTIAL,EV,False
VAN,50,500000,OLD_CITY,RESIDENTIAL,EV,True
BIKE,5,500000,RURAL,RESIDENTIAL,DIESEL,True
VAN,3000,500000,URBAN,COMMERCIAL,DIESEL,True
TRUCK,5,500000,URBAN,RESIDENTIAL,PETROL,True
TRUCK,3000,20000,RURAL,RESIDENTIAL,EV,True
TRUCK,50,2000000,OLD_CITY,COMMERCIAL,EV,True
BIKE,50,20000,URBAN,COMMERCIAL,EV,False
VAN,3000,2000000,URBAN,COMMERCIAL,EV,True
TRUCK,5,500000,OLD_CITY,COMMERCIAL,PETROL,False
VAN,5,20000,OLD_CITY,RESIDENTIAL,PETROL,True
TRUCK,50,20000,OLD_CITY,RESIDENTIAL,DIESEL,True
BIKE,5,20000,OLD_CITY,COMMERCIAL,PETROL,True
TRUCK,50,2000000,URBAN,COMMERCIAL,PETROL,True
VAN,3000,500000,URBAN,COMMERCIAL,DIESEL,False
VAN,5,500000,RURAL,COMMERCIAL,PETROL,False
BIKE,3000,500000,OLD_CITY,COMMERCIAL,DIESEL,False
VAN,50,2000000,OLD_CITY,RESIDENTIAL,EV,True
TRUCK,5,20000,URBAN,COMMERCIAL,PETROL,True
TRUCK,5,2000000,URBAN,RESIDENTIAL,PETROL,False
TRUCK,3000,20000,OLD_CITY,RESIDENTIAL,EV,True
TRUCK,3000,500000,OLD_CITY,COMMERCIAL,DIESEL,True
VAN,5,500000,RURAL,COMMERCIAL,PETROL,True
VAN,50,2000000,RURAL,RESIDENTIAL,PETROL,True
BIKE,3000,500000,OLD_CITY,RESIDENTIAL,DIESEL,True
BIKE,50,500000,URBAN,COMMERCIAL,EV,True
TRUCK,5,20000,URBAN,RESIDENTIAL,PETROL,True
VAN,50,500000,OLD_CITY,COMMERCIAL,DIESEL,True
BIKE,5,500000,OLD_CITY,COMMERCIAL,PETROL,False
BIKE,5,2000000,RURAL,RESIDENTIAL,EV,True
VAN,3000,2000000,URBAN,COMMERCIAL,DIESEL,True
VAN,5,20000,URBAN,COMMERCIAL,PETROL,False
TRUCK,5,500000,URBAN,RESIDENTIAL,PETROL,True
BIKE,50,500000,URBAN,COMMERCIAL,PETROL,False
TRUCK,3000,20000,OLD_CITY,COMMERCIAL,DIESEL,True
TRUCK,50,2000000,RURAL,COMMERCIAL,PETROL,False
TRUCK,3000,500000,URBAN,COMMERCIAL,EV,False
BIKE,5,2000000,URBAN,RESIDENTIAL,PETROL,True
TRUCK,50,2000000,OLD_CITY,COMMERCIAL,DIESEL,True
VAN,50,500000,RURAL,COMMERCIAL,PETROL,True
BIKE,50,20000,URBAN,RESIDENTIAL,EV,False
VAN,3000,20000,URBAN,COMMERCIAL,EV,True
TRUCK,50,20000,URBAN,COMMERCIAL,DIESEL,False
VAN,5,20000,OLD_CITY,COMMERCIAL,PETROL,True
TRUCK,50,20000,URBAN,RESIDENTIAL,DIESEL,True
VAN,3000,2000000,URBAN,COMMERCIAL,EV,True
VAN,5,2000000,URBAN,COMMERCIAL,PETROL,True
TRUCK,5,20000,RURAL,RESIDENTIAL,DIESEL,False
BIKE,5,20000,RURAL,RESIDENTIAL,DIESEL,True
TRUCK,5,500000,URBAN,COMMERCIAL,EV,True
VAN,5,500000,URBAN,RESIDENTIAL,DIESEL,False
VAN,5,20000,URBAN,COMMERCIAL,EV,True
VAN,3000,500000,RURAL,RESIDENTIAL,DIESEL,False
BIKE,5,2000000,OLD_CITY,RESIDENTIAL,PETROL,False
TRUCK,5,20000,RURAL,COMMERCIAL,EV,True
BIKE,3000,20000,RURAL,COMMERCIAL,EV,True
VAN,3000,500000,URBAN,COMMERCIAL,PETROL,True
BIKE,50,500000,URBAN,RESIDENTIAL,PETROL,True
BIKE,50,2000000,RURAL,COMMERCIAL,PETROL,False
TRUCK,50,2000000,RURAL,COMMERCIAL,PETROL,False
VAN,3000,20000,OLD_CITY,RESIDENTIAL,EV,True
TRUCK,5,20000,URBAN,RESIDENTIAL,PETROL,True
TRUCK,3000,20000,OLD_CITY,COMMERCIAL,PETROL,True
TRUCK,5,500000,URBAN,COMMERCIAL,EV,False
TRUCK,5,20000,RURAL,COMMERCIAL,EV,True
BIKE,5,20000,URBAN,RESIDENTIAL,DIESEL,True
VAN,50,500000,URBAN,COMMERCIAL,PETROL,True
BIKE,50,500000,OLD_CITY,COMMERCIAL,EV,True
VAN,50,20000,OLD_CITY,COMMERCIAL,DIESEL,True
BIKE,5,2000000,RURAL,RESIDENTIAL,EV,False
BIKE,5,2000000,RURAL,RESIDENTIAL,PETROL,True
TRUCK,5,2000000,RURAL,RESIDENTIAL,PETROL,False
VAN,3000,20000,OLD_CITY,COMMERCIAL,EV,True
BIKE,50,20000,URBAN,RESIDENTIAL,DIESEL,True
TRUCK,50,20000,RURAL,COMMERCIAL,EV,True
VAN,3000,500000,URBAN,COMMERCIAL,EV,False
VAN,3000,20000,OLD_CITY,RESIDENTIAL,DIESEL,True
BIKE,50,20000,RURAL,COMMERCIAL,EV,True
VAN,3000,20000,URBAN,RESIDENTIAL,EV,False
BIKE,5,2000000,OLD_CITY,COMMERCIAL,EV,True
BIKE,5,2000000,RURAL,RESIDENTIAL,PETROL,True
TRUCK,5,20000,OLD_CITY,RESIDENTIAL,DIESEL,True
BIKE,3000,20000,URBAN,COMMERCIAL,DIESEL,True
TRUCK,50,2000000,OLD_CITY,COMMERCIAL,DIESEL,True
BIKE,3000,2000000,URBAN,RESIDENTIAL,DIESEL,False
BIKE,50,500000,URBAN,COMMERCIAL,EV,False
TRUCK,5,20000,URBAN,RESIDENTIAL,PETROL,True
BIKE,50,20000,OLD_CITY,COMMERCIAL,DIESEL,True
BIKE,3000,500000,OLD_CITY,RESIDENTIAL,DIESEL,True
BIKE,5,2000000,OLD_CITY,COMMERCIAL,PETROL,False
BIKE,50,2000000,OLD_CITY,COMMERCIAL,DIESEL,False
TRUCK,5,500000,URBAN,RESIDENTIAL,DIESEL,True
TRUCK,50,500000,URBAN,COMMERCIAL,EV,True
BIKE,3000,500000,URBAN,RESIDENTIAL,EV,True
VAN,50,2000000,URBAN,RESIDENTIAL,PETROL,True
VAN,3000,500000,RURAL,RESIDENTIAL,DIESEL,True
VAN,3000,2000000,RURAL,COMMERCIAL,PETROL,False
VAN,5,500000,URBAN,RESIDENTIAL,EV,True
BIKE,5,20000,OLD_CITY,RESIDENTIAL,DIESEL,False
TRUCK,5,20000,URBAN,COMMERCIAL,PETROL,True
VAN,5,2000000,RURAL,COMMERCIAL,EV,True
TRUCK,3000,2000000,OLD_CITY,COMMERCIAL,DIESEL,True
VAN,5,500000,RURAL,RESIDENTIAL,DIESEL,True
TRUCK,5,2000000,URBAN,COMMERCIAL,EV,False
VAN,5,500000,OLD_CITY,RESIDENTIAL,PETROL,True
TRUCK,50,20000,RURAL,COMMERCIAL,DIESEL,False
VAN,3000,20000,URBAN,COMMERCIAL,PETROL,True
VAN,50,2000000,OLD_CITY,COMMERCIAL,PETROL,True
VAN,50,20000,RURAL,RESIDENTIAL,PETROL,False
VAN,5,20000,URBAN,RESIDENTIAL,PETROL,False
BIKE,5,2000000,RURAL,RESIDENTIAL,EV,True
BIKE,50,2000000,URBAN,COMMERCIAL,EV,False
BIKE,50,20000,OLD_CITY,COMMERCIAL,DIESEL,True
BIKE,50,2000000,RURAL,COMMERCIAL,PETROL,True
BIKE,50,20000,RURAL,COMMERCIAL,PETROL,True
TRUCK,5,20000,OLD_CITY,COMMERCIAL,EV,True
TRUCK,3000,500000,URBAN,RESIDENTIAL,EV,True
TRUCK,50,2000000,URBAN,RESIDENTIAL,EV,False
VAN,5,500000,RURAL,RESIDENTIAL,PETROL,True
BIKE,5,500000,OLD_CITY,COMMERCIAL,EV,True
BIKE,3000,20000,OLD_CITY,RESIDENTIAL,DIESEL,True
VAN,5,2000000,OLD_CITY,COMMERCIAL,EV,True
BIKE,3000,20000,RURAL,RESIDENTIAL,EV,False
TRUCK,50,2000000,URBAN,RESIDENTIAL,PETROL,False
VAN,5,20000,URBAN,RESIDENTIAL,PETROL,True
VAN,3000,500000,OLD_CITY,COMMERCIAL,EV,False
TRUCK,3000,20000,RURAL,COMMERCIAL,EV,False
BIKE,5,2000000,RURAL,COMMERCIAL,PETROL,True
VAN,3000,500000,OLD_CITY,COMMERCIAL,EV,False
VAN,5,500000,URBAN,RESIDENTIAL,DIESEL,True
TRUCK,5,2000000,OLD_CITY,RESIDENTIAL,EV,True
VAN,5,2000000,URBAN,COMMERCIAL,EV,True
VAN,50,500000,OLD_CITY,COMMERCIAL,PETROL,True
VAN,3000,20000,OLD_CITY,COMMERCIAL,EV,True
TRUCK,3000,20000,RURAL,RESIDENTIAL,PETROL,True
TRUCK,5,500000,RURAL,COMMERCIAL,PETROL,True
VAN,50,2000000,OLD_CITY,COMMERCIAL,DIESEL,False
VAN,3000,500000,URBAN,RESIDENTIAL,DIESEL,False
VAN,3000,2000000,OLD_CITY,COMMERCIAL,PETROL,True
VAN,50,20000,URBAN,COMMERCIAL,DIESEL,True
TRUCK,5,2000000,RURAL,COMMERCIAL,PETROL,True
BIKE,5,2000000,URBAN,RESIDENTIAL,EV,True
TRUCK,5,500000,URBAN,RESIDENTIAL,DIESEL,True
VAN,50,2000000,RURAL,COMMERCIAL,PETROL,False
TRUCK,3000,20000,OLD_CITY,RESIDENTIAL,PETROL,True
TRUCK,50,2000000,OLD_CITY,RESIDENTIAL,EV,False
TRUCK,5,20000,OLD_CITY,COMMERCIAL,PETROL,False
BIKE,5,2000000,URBAN,COMMERCIAL,EV,False
BIKE,50,20000,RURAL,RESIDENTIAL,EV,True
TRUCK,5,500000,OLD_CITY,RESIDENTIAL,EV,False
TRUCK,50,20000,URBAN,COMMERCIAL,EV,True
BIKE,50,500000,RURAL,RESIDENTIAL,PETROL,True
BIKE,50,2000000,URBAN,RESIDENTIAL,EV,True
BIKE,5,500000,URBAN,COMMERCIAL,DIESEL,True
VAN,50,20000,OLD_CITY,COMMERCIAL,EV,True
TRUCK,3000,20000,OLD_CITY,RESIDENTIAL,EV,True
BIKE,5,20000,OLD_CITY,RESIDENTIAL,PETROL,True
BIKE,5,20000,RURAL,RESIDENTIAL,DIESEL,True
VAN,3000,20000,URBAN,RESIDENTIAL,PETROL,True
TRUCK,3000,20000,RURAL,COMMERCIAL,DIESEL,True
BIKE,50,2000000,URBAN,COMMERCIAL,PETROL,True
VAN,3000,500000,URBAN,RESIDENTIAL,DIESEL,True
VAN,5,500000,OLD_CITY,RESIDENTIAL,EV,True
TRUCK,50,500000,OLD_CITY,RESIDENTIAL,DIESEL,False
BIKE,3000,500000,URBAN,RESIDENTIAL,EV,True
TRUCK,50,500000,RURAL,COMMERCIAL,DIESEL,True
TRUCK,50,2000000,URBAN,COMMERCIAL,PETROL,True
BIKE,50,2000000,URBAN,COMMERCIAL,DIESEL,True
BIKE,5,500000,RURAL,RESIDENTIAL,PETROL,True
BIKE,5,2000000,OLD_CITY,RESIDENTIAL,EV,True
VAN,5,2000000,RURAL,RESIDENTIAL,DIESEL,True
VAN,3000,2000000,URBAN,COMMERCIAL,DIESEL,False
TRUCK,50,500000,OLD_CITY,COMMERCIAL,PETROL,False
VAN,50,2000000,OLD_CITY,RESIDENTIAL,EV,True
BIKE,50,2000000,URBAN,COMMERCIAL,EV,True
TRUCK,50,500000,RURAL,RESIDENTIAL,EV,False
TRUCK,3000,2000000,OLD_CITY,COMMERCIAL,EV,True
VAN,3000,20000,RURAL,COMMERCIAL,EV,False
TRUCK,5,20000,OLD_CITY,COMMERCIAL,DIESEL,True
VAN,3000,2000000,URBAN,COMMERCIAL,EV,True
VAN,5,500000,OLD_CITY,COMMERCIAL,EV,False
TRUCK,5,500000,OLD_CITY,COMMERCIAL,EV,True
VAN,50,2000000,URBAN,COMMERCIAL,PETROL,True
VAN,5,2000000,URBAN,RESIDENTIAL,PETROL,True
VAN,3000,2000000,RURAL,RESIDENTIAL,EV,True
BIKE,5,2000000,URBAN,COMMERCIAL,DIESEL,False
VAN,3000,2000000,OLD_CITY,RESIDENTIAL,DIESEL,False
VAN,50,2000000,URBAN,COMMERCIAL,DIESEL,True
BIKE,50,500000,OLD_CITY,COMMERCIAL,PETROL,False
BIKE,3000,20000,RURAL,RESIDENTIAL,DIESEL,True
BIKE,50,20000,OLD_CITY,COMMERCIAL,PETROL,False
VAN,3000,20000,OLD_CITY,COMMERCIAL,EV,True
TRUCK,50,20000,URBAN,RESIDENTIAL,DIESEL,True
BIKE,5,500000,OLD_CITY,COMMERCIAL,EV,True
TRUCK,50,2000000,OLD_CITY,RESIDENTIAL,PETROL,True
BIKE,50,500000,URBAN,COMMERCIAL,EV,False
BIKE,50,2000000,RURAL,COMMERCIAL,PETROL,True
BIKE,50,2000000,OLD_CITY,COMMERCIAL,EV,True
TRUCK,5,2000000,OLD_CITY,RESIDENTIAL,EV,True
VAN,50,2000000,RURAL,RESIDENTIAL,PETROL,True
VAN,50,500000,RURAL,COMMERCIAL,EV,True
BIKE,3000,500000,OLD_CITY,RESIDENTIAL,PETROL,True
BIKE,5,500000,OLD_CITY,RESIDENTIAL,EV,False
TRUCK,3000,2000000,RURAL,RESIDENTIAL,DIESEL,True
VAN,50,500000,URBAN,RESIDENTIAL,EV,False
BIKE,5,2000000,RURAL,COMMERCIAL,EV,True
TRUCK,5,2000000,URBAN,RESIDENTIAL,PETROL,True
BIKE,5,2000000,RURAL,RESIDENTIAL,PETROL,True
VAN,5,500000,RURAL,COMMERCIAL,EV,True
BIKE,5,2000000,OLD_CITY,COMMERCIAL,PETROL,True
BIKE,5,20000,RURAL,COMMERCIAL,PETROL,True
VAN,5,20000,RURAL,RESIDENTIAL,DIESEL,True
BIKE,50,500000,RURAL,COMMERCIAL,PETROL,True
TRUCK,50,500000,OLD_CITY,RESIDENTIAL,DIESEL,True
BIKE,5,500000,URBAN,COMMERCIAL,PETROL,False
TRUCK,50,20000,URBAN,COMMERCIAL,PETROL,True
BIKE,5,20000,OLD_CITY,RESIDENTIAL,EV,True
TRUCK,50,500000,OLD_CITY,COMMERCIAL,PETROL,True
BIKE,50,20000,RURAL,COMMERCIAL,PETROL,False
TRUCK,50,500000,OLD_CITY,RESIDENTIAL,PETROL,True
VAN,3000,20000,URBAN,RESIDENTIAL,DIESEL,True
TRUCK,5,500000,URBAN,COMMERCIAL,PETROL,False
VAN,50,2000000,OLD_CITY,RESIDENTIAL,DIESEL,True
TRUCK,50,2000000,OLD_CITY,COMMERCIAL,DIESEL,True
BIKE,50,2000000,OLD_CITY,RESIDENTIAL,PETROL,True
BIKE,50,500000,URBAN,COMMERCIAL,DIESEL,False
BIKE,50,20000,OLD_CITY,COMMERCIAL,DIESEL,True
VAN,3000,2000000,URBAN,COMMERCIAL,DIESEL,True
VAN,50,20000,URBAN,COMMERCIAL,EV,True
BIKE,3000,20000,URBAN,RESIDENTIAL,EV,True
VAN,3000,20000,RURAL,COMMERCIAL,EV,True
VAN,3000,500000,URBAN,COMMERCIAL,DIESEL,True
VAN,3000,2000000,URBAN,RESIDENTIAL,PETROL,False
TRUCK,5,20000,RURAL,RESIDENTIAL,EV,True
