city,locality,area_type,road_width_category,heavy_vehicle_allowed,peak_hour_restriction,congestion_level,last_mile_difficulty,remarks
Chennai,Area_50,URBAN,NARROW,False,True,MEDIUM,4,generated
Pune,Area_51,RURAL,NARROW,True,False,MEDIUM,2,generated
Bengaluru,Area_52,URBAN,MEDIUM,True,True,HIGH,4,generated
Delhi,Area_53,OLD_CITY,MEDIUM,True,False,MEDIUM,1,generated
Delhi,Area_54,RURAL,WIDE,True,False,HIGH,1,generated
Pune,Area_55,RURAL,NARROW,True,False,MEDIUM,5,generated
Chennai,Area_56,RURAL,NARROW,True,False,HIGH,2,generated
Delhi,Area_57,URBAN,WIDE,True,False,HIGH,2,generated
Hyderabad,Area_58,RURAL,MEDIUM,False,True,HIGH,2,generated
Bengaluru,Area_59,URBAN,WIDE,True,False,LOW,1,generated
Chennai,Area_60,OLD_CITY,WIDE,True,True,HIGH,1,generated
Delhi,Area_61,RURAL,NARROW,False,False,HIGH,3,generated
Mumbai,Area_62,RURAL,NARROW,True,False,LOW,3,generated
Chennai,Area_63,RURAL,WIDE,True,False,HIGH,4,generated
Delhi,Area_64,URBAN,WIDE,True,True,HIGH,1,generated
Mumbai,Area_65,RURAL,MEDIUM,True,True,LOW,4,generated
Bengaluru,Area_66,RURAL,NARROW,True,False,MEDIUM,4,generated
Delhi,Area_67,RURAL,NARROW,True,False,MEDIUM,4,generated
Pune,Area_68,RURAL,WIDE,True,True,HIGH,5,generated
Chennai,Area_69,RURAL,MEDIUM,False,False,LOW,4,generated
Bengaluru,Area_70,URBAN,WIDE,True,False,HIGH,3,generated
Pune,Area_71,URBAN,WIDE,False,False,HIGH,3,generated
Kolkata,Area_72,URBAN,NARROW,False,True,LOW,5,generated
Chennai,Area_73,RURAL,WIDE,True,False,HIGH,2,generated
Kolkata,Area_74,URBAN,WIDE,True,True,LOW,1,generated
Mumbai,Area_75,RURAL,WIDE,True,True,MEDIUM,1,generated
Pune,Area_76,URBAN,WIDE,False,True,LOW,5,generated
Chennai,Area_77,RURAL,NARROW,True,False,HIGH,2,generated
Delhi,Area_78,RURAL,WIDE,False,False,LOW,5,generated
Chennai,Area_79,URBAN,MEDIUM,True,False,HIGH,1,generated
Pune,Area_80,URBAN,NARROW,False,True,LOW,3,generated
Pune,Area_81,URBAN,NARROW,False,False,HIGH,1,generated
Delhi,Area_82,OLD_CITY,NARROW,True,True,LOW,5,generated
Kolkata,Area_83,RURAL,WIDE,True,False,MEDIUM,1,generated
Delhi,Area_84,OLD_CITY,MEDIUM,True,False,MEDIUM,1,generated
Kolkata,Area_85,OLD_CITY,WIDE,True,False,HIGH,4,generated
Hyderabad,Area_86,OLD_CITY,MEDIUM,False,False,MEDIUM,4,generated
Delhi,Area_87,RURAL,WIDE,True,False,HIGH,5,generated
Hyderabad,Area_88,OLD_CITY,MEDIUM,False,False,HIGH,2,generated
Pune,Area_89,OLD_CITY,NARROW,True,True,LOW,4,generated
Bengaluru,Area_90,RURAL,MEDIUM,False,True,LOW,1,generated
Kolkata,Area_91,RURAL,WIDE,False,False,HIGH,2,generated
Hyderabad,Area_92,RURAL,NARROW,False,False,MEDIUM,2,generated
Hyderabad,Area_93,OLD_CITY,WIDE,False,True,LOW,1,generated
Mumbai,Area_94,URBAN,MEDIUM,True,True,MEDIUM,3,generated
Bengaluru,Area_95,OLD_CITY,WIDE,False,False,HIGH,5,generated
Kolkata,Area_96,RURAL,MEDIUM,True,True,MEDIUM,5,generated
Delhi,Area_97,RURAL,NARROW,True,False,MEDIUM,3,generated
Kolkata,Area_98,RURAL,NARROW,True,False,MEDIUM,4,generated
Pune,Area_99,OLD_CITY,NARROW,True,False,LOW,2,generated
Hyderabad,Area_100,OLD_CITY,WIDE,True,True,MEDIUM,2,generated
Delhi,Area_101,RURAL,WIDE,True,False,MEDIUM,1,generated
Pune,Area_102,URBAN,WIDE,False,False,MEDIUM,2,generated
Delhi,Area_103,RURAL,WIDE,True,False,LOW,4,generated
Delhi,Area_104,URBAN,NARROW,True,True,HIGH,2,generated
Chennai,Area_105,RURAL,NARROW,True,False,LOW,4,generated
Pune,Area_106,URBAN,NARROW,False,False,LOW,4,generated
Kolkata,Area_107,RURAL,WIDE,False,False,MEDIUM,1,generated
Kolkata,Area_108,URBAN,MEDIUM,True,True,HIGH,5,generated
Bengaluru,Area_109,OLD_CITY,WIDE,True,True,HIGH,3,generated
Kolkata,Area_110,RURAL,WIDE,False,False,HIGH,5,generated
Pune,Area_111,URBAN,MEDIUM,True,False,MEDIUM,5,generated
Delhi,Area_112,RURAL,NARROW,True,False,HIGH,5,generated
Hyderabad,Area_113,RURAL,MEDIUM,True,False,MEDIUM,4,generated
Kolkata,Area_114,RURAL,MEDIUM,True,False,HIGH,4,generated
Bengaluru,Area_115,URBAN,NARROW,True,False,HIGH,3,generated
Kolkata,Area_116,RURAL,NARROW,False,False,LOW,5,generated
Bengaluru,Area_117,RURAL,NARROW,True,False,MEDIUM,4,generated
Bengaluru,Area_118,RURAL,WIDE,True,True,LOW,4,generated
Mumbai,Area_119,URBAN,MEDIUM,False,True,MEDIUM,5,generated
Hyderabad,Area_120,RURAL,NARROW,False,False,HIGH,3,generated
Chennai,Area_121,URBAN,NARROW,True,True,MEDIUM,2,generated
Kolkata,Area_122,URBAN,MEDIUM,True,False,LOW,5,generated
Pune,Area_123,RURAL,MEDIUM,True,False,HIGH,1,generated
Kolkata,Area_124,URBAN,MEDIUM,True,False,LOW,5,generated
Kolkata,Area_125,RURAL,WIDE,True,False,LOW,3,generated
Pune,Area_126,OLD_CITY,WIDE,True,False,MEDIUM,3,generated
Kolkata,Area_127,OLD_CITY,NARROW,True,True,MEDIUM,2,generated
Pune,Area_128,OLD_CITY,NARROW,True,True,HIGH,1,generated
Hyderabad,Area_129,OLD_CITY,NARROW,True,False,HIGH,1,generated
Kolkata,Area_130,OLD_CITY,NARROW,True,True,HIGH,4,generated
Chennai,Area_131,RURAL,MEDIUM,True,False,HIGH,1,generated
Mumbai,Area_132,OLD_CITY,WIDE,False,False,LOW,2,generated
Delhi,Area_133,RURAL,MEDIUM,True,False,MEDIUM,1,generated
Delhi,Area_134,OLD_CITY,NARROW,True,False,LOW,4,generated
Hyderabad,Area_135,RURAL,WIDE,True,False,MEDIUM,4,generated
Chennai,Area_136,RURAL,MEDIUM,True,True,MEDIUM,1,generated
Kolkata,Area_137,URBAN,MEDIUM,True,False,LOW,4,generated
Chennai,Area_138,URBAN,MEDIUM,True,False,HIGH,3,generated
Hyderabad,Area_139,URBAN,MEDIUM,False,False,LOW,2,generated
Bengaluru,Area_140,RURAL,WIDE,True,False,HIGH,4,generated
Kolkata,Area_141,RURAL,MEDIUM,False,False,LOW,2,generated
Mumbai,Area_142,URBAN,MEDIUM,False,True,LOW,4,generated
Delhi,Area_143,RURAL,MEDIUM,True,False,HIGH,2,generated
Delhi,Area_144,URBAN,WIDE,True,False,HIGH,4,generated
Delhi,Area_145,URBAN,WIDE,True,False,HIGH,2,generated
Kolkata,Area_146,URBAN,NARROW,True,False,HIGH,2,generated
Hyderabad,Area_147,URBAN,NARROW,False,False,HIGH,5,generated
Hyderabad,Area_148,RURAL,NARROW,False,False,MEDIUM,3,generated
Chennai,Area_149,RURAL,WIDE,True,False,MEDIUM,4,generated
Chennai,Area_150,URBAN,WIDE,False,False,LOW,2,generated
Hyderabad,Area_151,RURAL,MEDIUM,True,True,MEDIUM,2,generated
Delhi,Area_152,URBAN,MEDIUM,True,False,LOW,5,generated
Mumbai,Area_153,RURAL,NARROW,False,False,LOW,4,generated
Mumbai,Area_154,URBAN,NARROW,True,False,MEDIUM,4,generated
Mumbai,Area_155,OLD_CITY,NARROW,True,True,LOW,2,generated
Kolkata,Area_156,RURAL,WIDE,False,True,HIGH,5,generated
Hyderabad,Area_157,OLD_CITY,NARROW,False,True,HIGH,1,generated
Pune,Area_158,URBAN,NARROW,False,False,MEDIUM,2,generated
Mumbai,Area_159,RURAL,WIDE,True,True,MEDIUM,3,generated
Delhi,Area_160,RURAL,WIDE,True,False,MEDIUM,4,generated
Hyderabad,Area_161,URBAN,WIDE,False,False,HIGH,4,generated
Bengaluru,Area_162,URBAN,MEDIUM,True,True,LOW,2,generated
Bengaluru,Area_163,OLD_CITY,NARROW,True,False,LOW,2,generated
Hyderabad,Area_164,URBAN,WIDE,False,False,HIGH,1,generated
Hyderabad,Area_165,OLD_CITY,NARROW,True,True,LOW,5,generated
Chennai,Area_166,OLD_CITY,WIDE,True,False,MEDIUM,4,generated
Kolkata,Area_167,OLD_CITY,NARROW,False,False,MEDIUM,4,generated
Bengaluru,Area_168,RURAL,WIDE,False,False,HIGH,4,generated
Kolkata,Area_169,OLD_CITY,NARROW,True,True,MEDIUM,3,generated
Pune,Area_170,RURAL,MEDIUM,False,False,LOW,5,generated
Bengaluru,Area_171,RURAL,NARROW,False,False,LOW,5,generated
Mumbai,Area_172,RURAL,WIDE,True,False,MEDIUM,4,generated
Hyderabad,Area_173,URBAN,NARROW,True,True,MEDIUM,1,generated
Kolkata,Area_174,URBAN,WIDE,True,True,MEDIUM,2,generated
Hyderabad,Area_175,URBAN,WIDE,True,False,HIGH,4,generated
Bengaluru,Area_176,OLD_CITY,WIDE,True,True,HIGH,2,generated
Chennai,Area_177,OLD_CITY,WIDE,True,False,HIGH,5,generated
Pune,Area_178,OLD_CITY,WIDE,True,True,HIGH,5,generated
Hyderabad,Area_179,OLD_CITY,WIDE,False,False,MEDIUM,4,generated
Kolkata,Area_180,URBAN,WIDE,False,False,MEDIUM,1,generated
Pune,Area_181,RURAL,MEDIUM,True,False,HIGH,4,generated
Chennai,Area_182,URBAN,MEDIUM,False,True,HIGH,1,generated
Kolkata,Area_183,RURAL,NARROW,True,False,MEDIUM,5,generated
Pune,Area_184,RURAL,WIDE,True,False,HIGH,5,generated
Bengaluru,Area_185,OLD_CITY,WIDE,True,False,LOW,4,generated
Hyderabad,Area_186,RURAL,NARROW,False,True,MEDIUM,3,generated
Bengaluru,Area_187,URBAN,MEDIUM,False,False,HIGH,3,generated
Delhi,Area_188,OLD_CITY,WIDE,False,False,HIGH,2,generated
Mumbai,Area_189,RURAL,MEDIUM,False,True,HIGH,3,generated
Hyderabad,Area_190,OLD_CITY,NARROW,True,False,MEDIUM,4,generated
Bengaluru,Area_191,RURAL,NARROW,False,False,HIGH,3,generated
Delhi,Area_192,OLD_CITY,MEDIUM,False,False,MEDIUM,2,generated
Bengaluru,Area_193,URBAN,MEDIUM,True,False,LOW,2,generated
Bengaluru,Area_194,URBAN,MEDIUM,True,False,LOW,1,generated
Pune,Area_195,URBAN,NARROW,True,True,MEDIUM,4,generated
Hyderabad,Area_196,RURAL,MEDIUM,True,True,MEDIUM,5,generated
Delhi,Area_197,OLD_CITY,MEDIUM,True,True,HIGH,5,generated
Kolkata,Area_198,URBAN,MEDIUM,False,False,MEDIUM,1,generated
Mumbai,Area_199,OLD_CITY,NARROW,True,False,MEDIUM,2,generated
Bengaluru,Area_200,OLD_CITY,NARROW,True,False,MEDIUM,1,generated
Chennai,Area_201,RURAL,WIDE,True,False,MEDIUM,5,generated
Delhi,Area_202,RURAL,WIDE,False,True,HIGH,2,generated
Chennai,Area_203,RURAL,MEDIUM,True,False,MEDIUM,2,generated
Bengaluru,Area_204,RURAL,WIDE,True,False,HIGH,2,generated
Pune,Area_205,RURAL,MEDIUM,False,True,MEDIUM,4,generated
Hyderabad,Area_206,URBAN,NARROW,False,False,HIGH,1,generated
Delhi,Area_207,OLD_CITY,MEDIUM,True,True,HIGH,5,generated
Kolkata,Area_208,OLD_CITY,MEDIUM,True,False,HIGH,5,generated
Pune,Area_209,OLD_CITY,WIDE,True,True,HIGH,2,generated
Mumbai,Area_210,URBAN,MEDIUM,False,False,HIGH,3,generated
Delhi,Area_211,RURAL,NARROW,True,False,LOW,3,generated
Mumbai,Area_212,RURAL,NARROW,False,True,LOW,2,generated
Chennai,Area_213,OLD_CITY,WIDE,False,False,LOW,1,generated
Bengaluru,Area_214,OLD_CITY,MEDIUM,False,True,HIGH,2,generated
Mumbai,Area_215,URBAN,MEDIUM,False,False,LOW,5,generated
Pune,Area_216,OLD_CITY,WIDE,True,False,LOW,4,generated
Mumbai,Area_217,URBAN,NARROW,True,True,HIGH,2,generated
Hyderabad,Area_218,URBAN,MEDIUM,True,False,LOW,3,generated
Mumbai,Area_219,RURAL,NARROW,True,False,HIGH,3,generated
Bengaluru,Area_220,RURAL,MEDIUM,True,False,MEDIUM,4,generated
Delhi,Area_221,OLD_CITY,WIDE,True,False,LOW,1,generated
Delhi,Area_222,URBAN,NARROW,False,False,MEDIUM,5,generated
Chennai,Area_223,URBAN,MEDIUM,True,False,LOW,5,generated
Mumbai,Area_224,OLD_CITY,MEDIUM,True,True,HIGH,1,generated
Chennai,Area_225,URBAN,WIDE,True,False,LOW,4,generated
Hyderabad,Area_226,URBAN,NARROW,True,False,LOW,5,generated
Pune,Area_227,OLD_CITY,WIDE,True,True,LOW,4,generated
Kolkata,Area_228,RURAL,MEDIUM,True,False,HIGH,4,generated
Hyderabad,Area_229,URBAN,MEDIUM,False,False,MEDIUM,5,generated
Bengaluru,Area_230,RURAL,NARROW,True,False,MEDIUM,4,generated
Pune,Area_231,RURAL,WIDE,False,False,MEDIUM,3,generated
Bengaluru,Area_232,RURAL,MEDIUM,False,False,HIGH,3,generated
Bengaluru,Area_233,URBAN,MEDIUM,True,False,LOW,3,generated
Mumbai,Area_234,OLD_CITY,MEDIUM,True,False,MEDIUM,3,generated
Mumbai,Area_235,URBAN,WIDE,True,False,MEDIUM,5,generated
Bengaluru,Area_236,URBAN,NARROW,False,True,MEDIUM,1,generated
Kolkata,Area_237,OLD_CITY,MEDIUM,True,False,HIGH,2,generated
Delhi,Area_238,URBAN,NARROW,True,False,HIGH,3,generated
Pune,Area_239,OLD_CITY,WIDE,True,False,HIGH,3,generated
Kolkata,Area_240,URBAN,NARROW,False,False,HIGH,2,generated
Bengaluru,Area_241,RURAL,NARROW,True,True,HIGH,3,generated
Hyderabad,Area_242,OLD_CITY,MEDIUM,False,False,MEDIUM,5,generated
Pune,Area_243,OLD_CITY,WIDE,False,False,MEDIUM,5,generated
Delhi,Area_244,OLD_CITY,NARROW,True,True,MEDIUM,4,generated
Bengaluru,Area_245,OLD_CITY,NARROW,True,False,HIGH,3,generated
Mumbai,Area_246,RURAL,WIDE,True,False,MEDIUM,2,generated
Chennai,Area_247,URBAN,NARROW,True,False,MEDIUM,5,generated
Bengaluru,Area_248,RURAL,WIDE,False,False,LOW,1,generated
Kolkata,Area_249,URBAN,WIDE,True,True,MEDIUM,2,generated
Mumbai,Area_250,RURAL,MEDIUM,False,True,MEDIUM,2,generated
Delhi,Area_251,OLD_CITY,NARROW,True,False,LOW,2,generated
Chennai,Area_252,RURAL,NARROW,True,False,HIGH,4,generated
Bengaluru,Area_253,OLD_CITY,NARROW,False,True,MEDIUM,3,generated
Kolkata,Area_254,RURAL,MEDIUM,True,False,LOW,3,generated
Delhi,Area_255,OLD_CITY,MEDIUM,True,False,LOW,1,generated
Chennai,Area_256,RURAL,MEDIUM,True,True,LOW,5,generated
Bengaluru,Area_257,URBAN,MEDIUM,True,False,HIGH,5,generated
Kolkata,Area_258,OLD_CITY,NARROW,False,False,LOW,3,generated
Kolkata,Area_259,URBAN,MEDIUM,True,False,HIGH,5,generated
Delhi,Area_260,URBAN,WIDE,True,True,MEDIUM,4,generated
Hyderabad,Area_261,OLD_CITY,MEDIUM,True,False,HIGH,3,generated
Chennai,Area_262,RURAL,MEDIUM,False,False,MEDIUM,1,generated
Kolkata,Area_263,RURAL,NARROW,True,False,MEDIUM,3,generated
Delhi,Area_264,RURAL,NARROW,True,False,LOW,4,generated
Chennai,Area_265,OLD_CITY,NARROW,True,False,MEDIUM,1,generated
Hyderabad,Area_266,RURAL,NARROW,True,False,HIGH,1,generated
Chennai,Area_267,RURAL,WIDE,False,False,LOW,4,generated
Kolkata,Area_268,OLD_CITY,NARROW,True,False,HIGH,3,generated
Delhi,Area_269,OLD_CITY,MEDIUM,False,False,HIGH,1,generated
Pune,Area_270,RURAL,NARROW,True,False,HIGH,2,generated
Bengaluru,Area_271,RURAL,WIDE,True,True,MEDIUM,5,generated
Delhi,Area_272,RURAL,MEDIUM,False,False,HIGH,2,generated
Pune,Area_273,URBAN,WIDE,True,False,HIGH,5,generated
Kolkata,Area_274,OLD_CITY,NARROW,False,True,HIGH,2,generated
Bengaluru,Area_275,RURAL,NARROW,False,False,HIGH,5,generated
Kolkata,Area_276,OLD_CITY,WIDE,False,False,MEDIUM,2,generated
Delhi,Area_277,RURAL,WIDE,True,False,LOW,2,generated
Mumbai,Area_278,OLD_CITY,WIDE,True,False,MEDIUM,4,generated
Kolkata,Area_279,URBAN,MEDIUM,True,False,HIGH,2,generated
Chennai,Area_280,URBAN,MEDIUM,True,True,MEDIUM,5,generated
Chennai,Area_281,URBAN,MEDIUM,True,False,LOW,4,generated
Delhi,Area_282,RURAL,WIDE,True,False,HIGH,1,generated
Delhi,Area_283,URBAN,MEDIUM,False,False,LOW,3,generated
Mumbai,Area_284,RURAL,WIDE,True,True,MEDIUM,5,generated
Kolkata,Area_285,URBAN,MEDIUM,False,False,HIGH,4,generated
Hyderabad,Area_286,URBAN,NARROW,False,False,HIGH,5,generated
Kolkata,Area_287,RURAL,MEDIUM,True,True,HIGH,4,generated
Bengaluru,Area_288,OLD_CITY,MEDIUM,False,False,HIGH,3,generated
Chennai,Area_289,URBAN,NARROW,True,True,HIGH,1,generated
Chennai,Area_290,RURAL,NARROW,True,True,LOW,2,generated
Mumbai,Area_291,RURAL,NARROW,True,False,MEDIUM,1,generated
Mumbai,Area_292,URBAN,MEDIUM,True,True,MEDIUM,3,generated
Mumbai,Area_293,URBAN,WIDE,False,False,HIGH,5,generated
Delhi,Area_294,RURAL,MEDIUM,False,True,LOW,4,generated
Kolkata,Area_295,OLD_CITY,MEDIUM,True,False,MEDIUM,4,generated
Pune,Area_296,OLD_CITY,WIDE,False,False,HIGH,3,generated
Pune,Area_297,OLD_CITY,MEDIUM,True,True,LOW,3,generated
Hyderabad,Area_298,OLD_CITY,NARROW,True,True,HIGH,3,generated
Bengaluru,Area_299,RURAL,MEDIUM,False,False,MEDIUM,5,generated
Hyderabad,Area_300,OLD_CITY,WIDE,False,False,HIGH,5,generated
Delhi,Area_301,URBAN,MEDIUM,False,False,MEDIUM,4,generated
Delhi,Area_302,OLD_CITY,MEDIUM,True,True,HIGH,5,generated
Kolkata,Area_303,OLD_CITY,MEDIUM,False,False,MEDIUM,5,generated
Pune,Area_304,URBAN,NARROW,False,False,MEDIUM,1,generated
Delhi,Area_305,RURAL,WIDE,True,False,HIGH,2,generated
Chennai,Area_306,URBAN,MEDIUM,True,False,LOW,2,generated
Delhi,Area_307,URBAN,NARROW,True,False,HIGH,3,generated
Bengaluru,Area_308,OLD_CITY,NARROW,True,True,HIGH,2,generated
Chennai,Area_309,OLD_CITY,WIDE,True,False,HIGH,4,generated
Kolkata,Area_310,URBAN,MEDIUM,False,False,HIGH,5,generated
Pune,Area_311,URBAN,MEDIUM,False,False,LOW,4,generated
Kolkata,Area_312,OLD_CITY,MEDIUM,False,True,MEDIUM,1,generated
Hyderabad,Area_313,URBAN,WIDE,True,False,LOW,4,generated
Hyderabad,Area_314,OLD_CITY,WIDE,False,True,MEDIUM,5,generated
Mumbai,Area_315,RURAL,NARROW,True,False,MEDIUM,4,generated
Kolkata,Area_316,URBAN,WIDE,True,False,LOW,5,generated
Chennai,Area_317,URBAN,NARROW,False,False,MEDIUM,2,generated
Kolkata,Area_318,URBAN,MEDIUM,True,False,LOW,3,generated
Kolkata,Area_319,OLD_CITY,WIDE,True,False,HIGH,2,generated
Hyderabad,Area_320,URBAN,NARROW,True,True,LOW,1,generated
Delhi,Area_321,URBAN,NARROW,True,False,LOW,2,generated
Bengaluru,Area_322,OLD_CITY,NARROW,True,False,HIGH,2,generated
Chennai,Area_323,RURAL,NARROW,False,False,HIGH,3,generated
Bengaluru,Area_324,RURAL,WIDE,True,True,HIGH,3,generated
Hyderabad,Area_325,OLD_CITY,MEDIUM,True,False,HIGH,3,generated
Pune,Area_326,RURAL,NARROW,False,False,MEDIUM,3,generated
Delhi,Area_327,RURAL,NARROW,True,False,HIGH,4,generated
Pune,Area_328,OLD_CITY,MEDIUM,True,False,MEDIUM,3,generated
Mumbai,Area_329,URBAN,NARROW,False,False,HIGH,1,generated
Bengaluru,Area_330,RURAL,WIDE,True,False,LOW,5,generated
Mumbai,Area_331,RURAL,WIDE,True,False,LOW,2,generated
Chennai,Area_332,OLD_CITY,NARROW,False,True,LOW,1,generated
Mumbai,Area_333,OLD_CITY,NARROW,True,False,HIGH,3,generated
Pune,Area_334,RURAL,NARROW,True,False,HIGH,2,generated
Kolkata,Area_335,RURAL,MEDIUM,False,False,LOW,2,generated
Bengaluru,Area_336,RURAL,NARROW,False,False,HIGH,3,generated
Bengaluru,Area_337,RURAL,NARROW,True,False,LOW,1,generated
Delhi,Area_338,RURAL,NARROW,True,False,HIGH,3,generated
Chennai,Area_339,OLD_CITY,MEDIUM,True,False,HIGH,1,generated
Pune,Area_340,RURAL,MEDIUM,False,True,MEDIUM,2,generated
Pune,Area_341,URBAN,WIDE,True,False,LOW,2,generated
Hyderabad,Area_342,OLD_CITY,MEDIUM,False,True,HIGH,5,generated
Delhi,Area_343,URBAN,NARROW,False,True,LOW,5,generated
Kolkata,Area_344,URBAN,MEDIUM,True,False,MEDIUM,5,generated
Delhi,Area_345,OLD_CITY,WIDE,True,False,LOW,5,generated
Mumbai,Area_346,URBAN,NARROW,True,False,MEDIUM,4,generated
Mumbai,Area_347,OLD_CITY,MEDIUM,False,False,LOW,5,generated
Bengaluru,Area_348,OLD_CITY,WIDE,False,False,HIGH,2,generated
Kolkata,Area_349,URBAN,WIDE,True,False,MEDIUM,1,generated
Mumbai,Area_350,OLD_CITY,NARROW,True,True,MEDIUM,5,generated
Bengaluru,Area_351,URBAN,WIDE,True,False,HIGH,3,generated
Kolkata,Area_352,RURAL,WIDE,True,False,HIGH,5,generated
Kolkata,Area_353,OLD_CITY,MEDIUM,True,False,LOW,3,generated
Mumbai,Area_354,URBAN,NARROW,True,False,MEDIUM,4,generated
Delhi,Area_355,URBAN,MEDIUM,True,True,HIGH,5,generated
Mumbai,Area_356,URBAN,MEDIUM,True,False,MEDIUM,2,generated
Pune,Area_357,URBAN,WIDE,False,True,MEDIUM,3,generated
Chennai,Area_358,RURAL,NARROW,True,False,HIGH,2,generated
Bengaluru,Area_359,RURAL,NARROW,True,True,LOW,4,generated
Kolkata,Area_360,RURAL,NARROW,False,False,HIGH,1,generated
Chennai,Area_361,OLD_CITY,NARROW,False,False,LOW,5,generated
Delhi,Area_362,URBAN,MEDIUM,True,False,LOW,5,generated
Delhi,Area_363,URBAN,MEDIUM,True,True,LOW,2,generated
Delhi,Area_364,OLD_CITY,MEDIUM,True,False,HIGH,4,generated
Mumbai,Area_365,URBAN,WIDE,True,False,LOW,5,generated
Mumbai,Area_366,RURAL,NARROW,True,False,HIGH,1,generated
Pune,Area_367,OLD_CITY,WIDE,False,False,MEDIUM,2,generated
Kolkata,Area_368,OLD_CITY,MEDIUM,True,False,HIGH,2,generated
Kolkata,Area_369,RURAL,NARROW,False,False,LOW,3,generated
Pune,Area_370,RURAL,NARROW,True,True,LOW,4,generated
Hyderabad,Area_371,URBAN,WIDE,False,False,LOW,1,generated
Hyderabad,Area_372,URBAN,WIDE,True,True,LOW,5,generated
Kolkata,Area_373,URBAN,WIDE,False,False,MEDIUM,2,generated
Delhi,Area_374,OLD_CITY,MEDIUM,True,False,LOW,4,generated
Delhi,Area_375,OLD_CITY,WIDE,True,True,HIGH,3,generated
Delhi,Area_376,RURAL,NARROW,True,True,HIGH,1,generated
Pune,Area_377,URBAN,WIDE,False,False,LOW,4,generated
Kolkata,Area_378,URBAN,MEDIUM,True,False,HIGH,3,generated
