delivery_event_id,shipment_id,delivery_outcome,failure_reason,human_override_flag,delivery_delay_minutes
EVT000048,SHP000048,Delivered,Customer Unavailable,False,89
EVT000049,SHP000049,Delayed,Address Issue,False,73
EVT000050,SHP000050,Delivered,Weather,False,102
EVT000051,SHP000051,Delivered,Customer Unavailable,False,257
EVT000052,SHP000052,Delivered,None,False,222
EVT000053,SHP000053,Delivered,None,False,91
EVT000054,SHP000054,Delivered,None,False,21
EVT000055,SHP000055,Delivered,Address Issue,False,70
EVT000056,SHP000056,Delivered,Address Issue,False,253
EVT000057,SHP000057,Delivered,Traffic,False,182
EVT000058,SHP000058,Delayed,Customer Unavailable,False,287
EVT000059,SHP000059,Delayed,None,False,33
EVT000060,SHP000060,Delivered,Address Issue,False,279
EVT000061,SHP000061,Failed,Address Issue,False,299
EVT000062,SHP000062,Delivered,None,False,184
EVT000063,SHP000063,Delayed,Traffic,True,116
EVT000064,SHP000064,Delivered,None,True,19
EVT000065,SHP000065,Delivered,Address Issue,False,246
EVT000066,SHP000066,Delivered,None,True,6
EVT000067,SHP000067,Delivered,None,False,162
EVT000068,SHP000068,Delivered,Address Issue,False,24
EVT000069,SHP000069,Delivered,None,True,46
EVT000070,SHP000070,Delayed,None,False,29
EVT000071,SHP000071,Delayed,Address Issue,False,215
EVT000072,SHP000072,Delivered,Address Issue,True,278
EVT000073,SHP000073,Delivered,Address Issue,False,221
EVT000074,SHP000074,Delivered,Weather,False,182
EVT000075,SHP000075,Delivered,Customer Unavailable,True,193
EVT000076,SHP000076,Delivered,Address Issue,False,100
EVT000077,SHP000077,Delivered,Customer Unavailable,False,237
EVT000078,SHP000078,Delivered,Address Issue,False,260
EVT000079,SHP000079,Delivered,None,False,145
EVT000080,SHP000080,Delayed,Customer Unavailable,False,289
EVT000081,SHP000081,Delayed,Customer Unavailable,True,5
EVT000082,SHP000082,Delivered,Customer Unavailable,False,94
EVT000083,SHP000083,Delivered,None,False,149
EVT000084,SHP000084,Delivered,Customer Unavailable,False,44
EVT000085,SHP000085,Delivered,None,True,211
EVT000086,SHP000086,Delivered,Weather,False,16
EVT000087,SHP000087,Failed,None,False,158
EVT000088,SHP000088,Delivered,Customer Unavailable,False,119
EVT000089,SHP000089,Delivered,Address Issue,False,212
EVT000090,SHP000090,Delivered,Traffic,False,67
EVT000091,SHP000091,Delivered,None,False,118
EVT000092,SHP000092,Delayed,Traffic,False,62
EVT000093,SHP000093,Delivered,Address Issue,False,49
EVT000094,SHP000094,Delivered,Traffic,False,120
EVT000095,SHP000095,Delivered,None,True,286
EVT000096,SHP000096,Delivered,Customer Unavailable,False,25
EVT000097,SHP000097,Delivered,Address Issue,False,130
EVT000098,SHP000098,Delayed,Customer Unavailable,False,71
EVT000099,SHP000099,Delivered,Weather,False,172
EVT000100,SHP000100,Delivered,Address Issue,False,222
EVT000101,SHP000101,Delivered,Customer Unavailable,False,215
EVT000102,SHP000102,Delivered,Customer Unavailable,False,226
EVT000103,SHP000103,Delivered,Customer Unavailable,True,252
EVT000104,SHP000104,Delivered,None,False,189
EVT000105,SHP000105,Delivered,None,True,275
EVT000106,SHP000106,Delivered,Customer Unavailable,False,69
EVT000107,SHP000107,Delivered,Weather,False,119
EVT000108,SHP000108,Delayed,None,True,291
EVT000109,SHP000109,Delivered,None,False,144
EVT000110,SHP000110,Delayed,Customer Unavailable,False,279
EVT000111,SHP000111,Delivered,Weather,True,284
EVT000112,SHP000112,Delivered,Address Issue,False,180
EVT000113,SHP000113,Delivered,None,False,110
EVT000114,SHP000114,Delayed,Customer Unavailable,False,178
EVT000115,SHP000115,Delivered,None,False,151
EVT000116,SHP000116,Delivered,Address Issue,False,232
EVT000117,SHP000117,Delivered,Customer Unavailable,False,246
EVT000118,SHP000118,Delivered,Address Issue,True,76
EVT000119,SHP000119,Delivered,Traffic,False,136
EVT000120,SHP000120,Delivered,None,False,90
EVT000121,SHP000121,Delivered,None,False,113
EVT000122,SHP000122,Delivered,Weather,False,209
EVT000123,SHP000123,Delivered,Customer Unavailable,False,74
EVT000124,SHP000124,Delivered,Customer Unavailable,False,154
EVT000125,SHP000125,Delivered,Address Issue,True,96
EVT000126,SHP000126,Delivered,Weather,False,93
EVT000127,SHP000127,Delivered,Traffic,False,287
EVT000128,SHP000128,Delayed,Address Issue,False,122
EVT000129,SHP000129,Failed,Traffic,False,224
EVT000130,SHP000130,Delivered,Traffic,False,38
EVT000131,SHP000131,Delivered,None,False,218
EVT000132,SHP000132,Delivered,Customer Unavailable,False,189
EVT000133,SHP000133,Failed,None,True,216
EVT000134,SHP000134,Delivered,None,False,16
EVT000135,SHP000135,Delivered,Traffic,False,266
EVT000136,SHP000136,Delivered,Traffic,False,97
EVT000137,SHP000137,Delivered,Address Issue,False,20
EVT000138,SHP000138,Delivered,Traffic,False,164
EVT000139,SHP000139,Delivered,Customer Unavailable,False,262
EVT000140,SHP000140,Delivered,None,True,174
EVT000141,SHP000141,Delivered,Customer Unavailable,False,29
EVT000142,SHP000142,Failed,Customer Unavailable,False,207
EVT000143,SHP000143,Delivered,Traffic,False,113
EVT000144,SHP000144,Delivered,Address Issue,False,231
EVT000145,SHP000145,Delayed,Traffic,True,45
EVT000146,SHP000146,Delivered,Weather,False,204
EVT000147,SHP000147,Delivered,None,False,4
EVT000148,SHP000148,Delivered,None,False,212
EVT000149,SHP000149,Delayed,Traffic,False,277
EVT000150,SHP000150,Delivered,Traffic,False,127
EVT000151,SHP000151,Delayed,Address Issue,True,268
EVT000152,SHP000152,Delivered,None,False,270
EVT000153,SHP000153,Delivered,Customer Unavailable,False,138
EVT000154,SHP000154,Delivered,Customer Unavailable,False,180
EVT000155,SHP000155,Delivered,Customer Unavailable,False,1
EVT000156,SHP000156,Delivered,Weather,False,156
EVT000157,SHP000157,Delivered,Weather,False,294
EVT000158,SHP000158,Delivered,Customer Unavailable,True,12
EVT000159,SHP000159,Delivered,None,False,0
EVT000160,SHP000160,Delivered,Customer Unavailable,False,161
EVT000161,SHP000161,Delivered,Address Issue,True,192
EVT000162,SHP000162,Failed,Address Issue,False,253
EVT000163,SHP000163,Delivered,None,False,44
EVT000164,SHP000164,Delivered,Traffic,False,243
EVT000165,SHP000165,Delayed,Customer Unavailable,False,76
EVT000166,SHP000166,Delivered,Address Issue,True,141
EVT000167,SHP000167,Delivered,Customer Unavailable,False,145
EVT000168,SHP000168,Delivered,Address Issue,False,157
EVT000169,SHP000169,Delivered,Customer Unavailable,False,61
EVT000170,SHP000170,Delivered,None,False,156
EVT000171,SHP000171,Delayed,None,True,66
EVT000172,SHP000172,Delivered,None,False,139
EVT000173,SHP000173,Delivered,Weather,False,281
EVT000174,SHP000174,Delivered,None,False,217
EVT000175,SHP000175,Delivered,Weather,False,292
EVT000176,SHP000176,Delivered,None,False,58
EVT000177,SHP000177,Delivered,Traffic,False,137
EVT000178,SHP000178,Delivered,None,False,117
EVT000179,SHP000179,Delayed,Address Issue,True,175
EVT000180,SHP000180,Delivered,Address Issue,False,28
EVT000181,SHP000181,Delivered,Address Issue,False,240
EVT000182,SHP000182,Failed,Traffic,False,40
EVT000183,SHP000183,Delivered,None,False,158
EVT000184,SHP000184,Delayed,Address Issue,False,178
EVT000185,SHP000185,Delivered,None,False,40
EVT000186,SHP000186,Delivered,None,False,17
EVT000187,SHP000187,Delivered,Address Issue,False,81
EVT000188,SHP000188,Delivered,Customer Unavailable,False,159
EVT000189,SHP000189,Delivered,Weather,False,123
EVT000190,SHP000190,Delivered,Customer Unavailable,False,173
EVT000191,SHP000191,Delivered,Address Issue,False,6
EVT000192,SHP000192,Delivered,Customer Unavailable,False,113
EVT000193,SHP000193,Delayed,Address Issue,True,28
EVT000194,SHP000194,Delivered,Customer Unavailable,False,86
EVT000195,SHP000195,Delivered,Address Issue,False,247
EVT000196,SHP000196,Delivered,Weather,False,240
EVT000197,SHP000197,Delivered,None,False,296
EVT000198,SHP000198,Delivered,Weather,False,262
EVT000199,SHP000199,Delivered,Customer Unavailable,True,23
EVT000200,SHP000200,Delivered,Address Issue,True,17
EVT000201,SHP000201,Delivered,None,False,288
EVT000202,SHP000202,Delivered,Address Issue,False,148
EVT000203,SHP000203,Failed,None,False,154
EVT000204,SHP000204,Delivered,Customer Unavailable,False,144
EVT000205,SHP000205,Delivered,Customer Unavailable,True,22
EVT000206,SHP000206,Delivered,Address Issue,True,244
EVT000207,SHP000207,Failed,None,False,279
EVT000208,SHP000208,Delivered,Customer Unavailable,False,79
EVT000209,SHP000209,Delivered,Customer Unavailable,False,131
EVT000210,SHP000210,Delivered,Customer Unavailable,True,261
EVT000211,SHP000211,Delivered,Customer Unavailable,False,50
EVT000212,SHP000212,Delivered,Weather,False,232
EVT000213,SHP000213,Failed,None,False,189
EVT000214,SHP000214,Delivered,Address Issue,False,154
EVT000215,SHP000215,Delivered,Address Issue,False,260
EVT000216,SHP000216,Delivered,Address Issue,True,122
EVT000217,SHP000217,Delayed,Customer Unavailable,False,253
EVT000218,SHP000218,Delivered,Address Issue,False,280
EVT000219,SHP000219,Delivered,None,False,96
EVT000220,SHP000220,Delayed,None,False,207
EVT000221,SHP000221,Delivered,Weather,False,123
EVT000222,SHP000222,Delivered,None,True,214
EVT000223,SHP000223,Delivered,Address Issue,False,173
EVT000224,SHP000224,Delivered,Address Issue,True,58
EVT000225,SHP000225,Delivered,None,True,140
EVT000226,SHP000226,Delivered,None,False,246
EVT000227,SHP000227,Delivered,Customer Unavailable,False,120
EVT000228,SHP000228,Delivered,None,False,290
EVT000229,SHP000229,Delivered,Customer Unavailable,False,107
EVT000230,SHP000230,Delivered,Address Issue,False,190
EVT000231,SHP000231,Delivered,Address Issue,False,229
EVT000232,SHP000232,Delivered,None,False,216
EVT000233,SHP000233,Failed,Weather,True,65
EVT000234,SHP000234,Delivered,Customer Unavailable,False,43
EVT000235,SHP000235,Delayed,None,False,157
EVT000236,SHP000236,Delivered,Weather,True,177
EVT000237,SHP000237,Delivered,Weather,True,267
EVT000238,SHP000238,Delivered,Customer Unavailable,False,166
EVT000239,SHP000239,Delivered,Traffic,False,174
EVT000240,SHP000240,Delivered,Weather,False,15
EVT000241,SHP000241,Delivered,Customer Unavailable,False,217
EVT000242,SHP000242,Delivered,Customer Unavailable,False,287
EVT000243,SHP000243,Delayed,Customer Unavailable,True,139
EVT000244,SHP000244,Delivered,Weather,False,29
EVT000245,SHP000245,Delivered,None,False,91
EVT000246,SHP000246,Failed,None,False,66
EVT000247,SHP000247,Delayed,None,True,32
EVT000248,SHP000248,Failed,Weather,False,134
EVT000249,SHP000249,Delivered,Weather,False,271
EVT000250,SHP000250,Delayed,Customer Unavailable,False,11
EVT000251,SHP000251,Delivered,Weather,False,37
EVT000252,SHP000252,Delivered,Address Issue,False,266
EVT000253,SHP000253,Delivered,Customer Unavailable,False,4
EVT000254,SHP000254,Delivered,Customer Unavailable,True,91
EVT000255,SHP000255,Delivered,Traffic,False,25
EVT000256,SHP000256,Delivered,Customer Unavailable,False,105
EVT000257,SHP000257,Failed,Customer Unavailable,True,182
EVT000258,SHP000258,Delivered,Weather,False,170
EVT000259,SHP000259,Delivered,Customer Unavailable,True,33
EVT000260,SHP000260,Delivered,Customer Unavailable,True,53
EVT000261,SHP000261,Delivered,Weather,False,202
EVT000262,SHP000262,Delivered,None,False,148
EVT000263,SHP000263,Delivered,Weather,False,235
EVT000264,SHP000264,Delivered,Customer Unavailable,False,240
EVT000265,SHP000265,Failed,Weather,False,91
EVT000266,SHP000266,Delivered,Address Issue,False,97
EVT000267,SHP000267,Delivered,Weather,False,91
EVT000268,SHP000268,Delivered,Address Issue,False,234
EVT000269,SHP000269,Delivered,Customer Unavailable,False,219
EVT000270,SHP000270,Delivered,None,True,103
EVT000271,SHP000271,Delivered,Customer Unavailable,False,108
EVT000272,SHP000272,Delivered,None,False,297
EVT000273,SHP000273,Delivered,None,False,118
EVT000274,SHP000274,Delivered,Address Issue,False,127
EVT000275,SHP000275,Delivered,None,False,241
EVT000276,SHP000276,Delivered,Customer Unavailable,False,117
EVT000277,SHP000277,Delivered,None,False,149
EVT000278,SHP000278,Delivered,Traffic,False,209
EVT000279,SHP000279,Delivered,Address Issue,False,116
EVT000280,SHP000280,Delivered,None,False,40
EVT000281,SHP000281,Delivered,Weather,False,211
EVT000282,SHP000282,Delivered,Customer Unavailable,False,284
EVT000283,SHP000283,Failed,Weather,False,270
EVT000284,SHP000284,Delayed,None,False,77
EVT000285,SHP000285,Delayed,Address Issue,True,2
EVT000286,SHP000286,Delivered,None,False,146
EVT000287,SHP000287,Delivered,Customer Unavailable,False,152
EVT000288,SHP000288,Delivered,None,False,79
EVT000289,SHP000289,Delivered,Weather,True,259
EVT000290,SHP000290,Delayed,Customer Unavailable,False,253
EVT000291,SHP000291,Delayed,Customer Unavailable,False,6
EVT000292,SHP000292,Delivered,Customer Unavailable,False,204
EVT000293,SHP000293,Delivered,Traffic,False,242
EVT000294,SHP000294,Delivered,None,False,96
EVT000295,SHP000295,Delayed,None,False,242
EVT000296,SHP000296,Delivered,None,False,291
EVT000297,SHP000297,Delayed,Weather,False,89
EVT000298,SHP000298,Delivered,Weather,False,8
EVT000299,SHP000299,Delivered,Address Issue,False,256
EVT000300,SHP000300,Delivered,None,True,138
EVT000301,SHP000301,Delayed,Customer Unavailable,False,176
EVT000302,SHP000302,Delivered,Weather,False,13
EVT000303,SHP000303,Delivered,Customer Unavailable,False,121
EVT000304,SHP000304,Delivered,None,False,139
EVT000305,SHP000305,Delivered,Address Issue,False,193
EVT000306,SHP000306,Delivered,Traffic,False,184
EVT000307,SHP000307,Delivered,None,False,284
EVT000308,SHP000308,Delivered,None,False,111
EVT000309,SHP000309,Delivered,Address Issue,False,134
EVT000310,SHP000310,Delivered,Weather,True,56
EVT000311,SHP000311,Delivered,Address Issue,False,14
EVT000312,SHP000312,Delivered,Address Issue,False,77
EVT000313,SHP000313,Delivered,None,False,89
EVT000314,SHP000314,Delayed,Weather,False,52
EVT000315,SHP000315,Delivered,Customer Unavailable,True,195
EVT000316,SHP000316,Delivered,Weather,False,128
EVT000317,SHP000317,Delivered,Customer Unavailable,False,60
EVT000318,SHP000318,Delivered,None,True,206
EVT000319,SHP000319,Delayed,Address Issue,False,260
EVT000320,SHP000320,Delivered,Customer Unavailable,True,81
EVT000321,SHP000321,Delivered,None,False,164
EVT000322,SHP000322,Delivered,None,False,232
EVT000323,SHP000323,Delivered,None,False,281
EVT000324,SHP000324,Delayed,Customer Unavailable,True,40
EVT000325,SHP000325,Delivered,None,False,116
EVT000326,SHP000326,Delivered,Weather,True,135
EVT000327,SHP000327,Delivered,Address Issue,False,150
EVT000328,SHP000328,Delivered,Customer Unavailable,False,135
EVT000329,SHP000329,Delivered,Weather,False,69
EVT000330,SHP000330,Delivered,Traffic,False,46
EVT000331,SHP000331,Delivered,None,False,255
EVT000332,SHP000332,Delivered,None,True,237
EVT000333,SHP000333,Failed,None,False,28
EVT000334,SHP000334,Delivered,None,False,50
EVT000335,SHP000335,Delivered,Weather,False,66
EVT000336,SHP000336,Delivered,Address Issue,False,52
EVT000337,SHP000337,Delivered,Customer Unavailable,False,292
EVT000338,SHP000338,Delivered,Weather,False,170
EVT000339,SHP000339,Delivered,Customer Unavailable,False,104
EVT000340,SHP000340,Delivered,None,False,195
EVT000341,SHP000341,Delivered,None,False,38
EVT000342,SHP000342,Failed,Address Issue,False,55
EVT000343,SHP000343,Failed,Traffic,False,142
EVT000344,SHP000344,Delivered,None,False,245
EVT000345,SHP000345,Delivered,Weather,False,252
EVT000346,SHP000346,Delivered,Traffic,True,139
EVT000347,SHP000347,Delivered,Weather,False,139
EVT000348,SHP000348,Delivered,Customer Unavailable,False,201
EVT000349,SHP000349,Delivered,Address Issue,False,24
EVT000350,SHP000350,Delivered,None,False,54
EVT000351,SHP000351,Delivered,None,False,97
EVT000352,SHP000352,Delayed,Address Issue,True,238
EVT000353,SHP000353,Delivered,None,False,208
EVT000354,SHP000354,Delayed,Weather,False,100
EVT000355,SHP000355,Failed,Address Issue,False,106
EVT000356,SHP000356,Delivered,Address Issue,False,257
EVT000357,SHP000357,Delivered,Address Issue,False,170
EVT000358,SHP000358,Delayed,None,False,129
EVT000359,SHP000359,Delivered,Address Issue,True,115
EVT000360,SHP000360,Delivered,Address Issue,False,156
EVT000361,SHP000361,Delivered,None,True,193
EVT000362,SHP000362,Delivered,None,False,152
EVT000363,SHP000363,Delivered,Address Issue,False,167
EVT000364,SHP000364,Failed,None,False,98
EVT000365,SHP000365,Delivered,None,False,109
EVT000366,SHP000366,Delayed,None,False,127
EVT000367,SHP000367,Delivered,None,False,179
EVT000368,SHP000368,Delayed,Customer Unavailable,False,207
EVT000369,SHP000369,Delivered,None,True,70
EVT000370,SHP000370,Delayed,Weather,False,113
EVT000371,SHP000371,Delivered,Customer Unavailable,False,60
EVT000372,SHP000372,Delivered,Weather,False,283
EVT000373,SHP000373,Delivered,Traffic,False,235
EVT000374,SHP000374,Delivered,Weather,False,13
EVT000375,SHP000375,Delayed,None,False,3
EVT000376,SHP000376,Delivered,None,False,224
EVT000377,SHP000377,Delivered,Customer Unavailable,False,151
EVT000378,SHP000378,Delayed,Customer Unavailable,False,93
EVT000379,SHP000379,Delivered,Address Issue,False,124
EVT000380,SHP000380,Delivered,Traffic,False,120
EVT000381,SHP000381,Delivered,None,False,218
EVT000382,SHP000382,Delayed,None,False,42
EVT000383,SHP000383,Failed,Weather,False,9
EVT000384,SHP000384,Delivered,Address Issue,False,130
EVT000385,SHP000385,Failed,None,False,170
EVT000386,SHP000386,Delayed,None,False,132
EVT000387,SHP000387,Delivered,Traffic,True,33
EVT000388,SHP000388,Delivered,None,False,236
EVT000389,SHP000389,Delivered,Weather,False,259
EVT000390,SHP000390,Delivered,Weather,False,149
EVT000391,SHP000391,Delivered,Address Issue,True,289
EVT000392,SHP000392,Delivered,Weather,False,58
EVT000393,SHP000393,Delivered,Weather,True,155
EVT000394,SHP000394,Delivered,Customer Unavailable,False,297
EVT000395,SHP000395,Delivered,None,False,57
EVT000396,SHP000396,Delivered,None,False,136
EVT000397,SHP000397,Delivered,Customer Unavailable,False,225
EVT000398,SHP000398,Delivered,Address Issue,False,121
EVT000399,SHP000399,Delivered,None,False,96
EVT000400,SHP000400,Delivered,Address Issue,False,158
EVT000401,SHP000401,Delivered,None,True,99
EVT000402,SHP000402,Delivered,Weather,False,210
EVT000403,SHP000403,Delivered,Weather,False,211
EVT000404,SHP000404,Delivered,Address Issue,False,219
EVT000405,SHP000405,Delayed,Weather,False,239
EVT000406,SHP000406,Delivered,Address Issue,False,277
EVT000407,SHP000407,Delivered,Customer Unavailable,False,145
EVT000408,SHP000408,Delivered,Address Issue,True,27
EVT000409,SHP000409,Delivered,Address Issue,False,221
EVT000410,SHP000410,Delivered,None,False,71
EVT000411,SHP000411,Delayed,Traffic,True,198
EVT000412,SHP000412,Failed,Customer Unavailable,False,36
EVT000413,SHP000413,Delivered,None,True,73
EVT000414,SHP000414,Delivered,Weather,False,22
EVT000415,SHP000415,Delivered,Customer Unavailable,False,78
EVT000416,SHP000416,Delayed,Customer Unavailable,True,173
EVT000417,SHP000417,Delivered,Address Issue,False,193
EVT000418,SHP000418,Delayed,Traffic,False,135
EVT000419,SHP000419,Delivered,Customer Unavailable,False,168
EVT000420,SHP000420,Delivered,None,False,154
EVT000421,SHP000421,Delivered,Customer Unavailable,False,238
EVT000422,SHP000422,Failed,Address Issue,False,258
EVT000423,SHP000423,Delivered,Customer Unavailable,False,17
EVT000424,SHP000424,Delivered,None,False,32
EVT000425,SHP000425,Delivered,Customer Unavailable,False,204
EVT000426,SHP000426,Delivered,Traffic,False,15
EVT000427,SHP000427,Delivered,None,True,118
EVT000428,SHP000428,Delivered,Address Issue,False,168
EVT000429,SHP000429,Delivered,Weather,False,235
EVT000430,SHP000430,Delivered,None,False,117
EVT000431,SHP000431,Delivered,Address Issue,False,117
EVT000432,SHP000432,Delivered,Address Issue,True,203
EVT000433,SHP000433,Delivered,Traffic,False,150
EVT000434,SHP000434,Failed,Address Issue,True,280
EVT000435,SHP000435,Delivered,Customer Unavailable,True,88
EVT000436,SHP000436,Delivered,None,False,79
EVT000437,SHP000437,Delivered,None,False,38
EVT000438,SHP000438,Delivered,Weather,False,143
EVT000439,SHP000439,Delivered,Weather,False,173
EVT000440,SHP000440,Delivered,Traffic,False,277
EVT000441,SHP000441,Delivered,Address Issue,False,195
EVT000442,SHP000442,Delivered,None,True,31
EVT000443,SHP000443,Delivered,Address Issue,False,88
EVT000444,SHP000444,Delivered,Address Issue,True,299
EVT000445,SHP000445,Delivered,Address Issue,False,195
EVT000446,SHP000446,Delivered,Address Issue,False,171
EVT000447,SHP000447,Delivered,Customer Unavailable,False,25
EVT000448,SHP000448,Delivered,Customer Unavailable,False,173
EVT000449,SHP000449,Failed,Address Issue,True,210
EVT000450,SHP000450,Delivered,Address Issue,False,79
EVT000451,SHP000451,Delivered,Address Issue,True,20
EVT000452,SHP000452,Delayed,Customer Unavailable,False,15
EVT000453,SHP000453,Delayed,None,False,292
EVT000454,SHP000454,Delivered,None,False,22
EVT000455,SHP000455,Delivered,None,False,28
EVT000456,SHP000456,Delivered,None,False,229
EVT000457,SHP000457,Delivered,Address Issue,False,288
EVT000458,SHP000458,Delivered,None,True,130
EVT000459,SHP000459,Delivered,Weather,False,29
EVT000460,SHP000460,Delivered,None,False,237
EVT000461,SHP000461,Delivered,Weather,False,60
EVT000462,SHP000462,Delivered,Weather,False,282
EVT000463,SHP000463,Delivered,None,False,225
EVT000464,SHP000464,Delivered,Customer Unavailable,False,128
EVT000465,SHP000465,Delayed,None,False,229
EVT000466,SHP000466,Delivered,None,True,170
EVT000467,SHP000467,Delivered,Weather,False,206
EVT000468,SHP000468,Delayed,Traffic,False,173
EVT000469,SHP000469,Delivered,None,True,240
EVT000470,SHP000470,Delivered,Address Issue,False,241
EVT000471,SHP000471,Delivered,Address Issue,True,6
EVT000472,SHP000472,Delivered,Weather,False,191
EVT000473,SHP000473,Delivered,None,False,106
EVT000474,SHP000474,Delayed,None,False,223
EVT000475,SHP000475,Delivered,None,False,23
EVT000476,SHP000476,Delayed,Address Issue,False,51
EVT000477,SHP000477,Delivered,None,False,155
EVT000478,SHP000478,Delivered,Weather,False,192
EVT000479,SHP000479,Delivered,Weather,False,18
EVT000480,SHP000480,Delivered,Weather,False,178
EVT000481,SHP000481,Delayed,Weather,False,128
EVT000482,SHP000482,Delayed,Traffic,False,294
EVT000483,SHP000483,Delayed,Traffic,False,49
EVT000484,SHP000484,Delivered,None,False,214
EVT000485,SHP000485,Delivered,Traffic,True,190
EVT000486,SHP000486,Delivered,None,False,218
EVT000487,SHP000487,Delivered,Customer Unavailable,False,197
EVT000488,SHP000488,Delivered,Customer Unavailable,False,136
EVT000489,SHP000489,Delivered,Address Issue,False,251
EVT000490,SHP000490,Delivered,None,False,273
EVT000491,SHP000491,Delivered,None,False,201
EVT000492,SHP000492,Delivered,None,False,115
EVT000493,SHP000493,Failed,None,False,260
EVT000494,SHP000494,Delayed,None,False,191
EVT000495,SHP000495,Delivered,None,False,80
EVT000496,SHP000496,Delivered,Customer Unavailable,True,55
EVT000497,SHP000497,Delivered,Customer Unavailable,False,251
EVT000498,SHP000498,Delivered,None,False,95
EVT000499,SHP000499,Delivered,None,False,56
EVT000500,SHP000500,Delivered,Customer Unavailable,False,46
EVT000501,SHP000501,Delivered,None,False,140
EVT000502,SHP000502,Delivered,Customer Unavailable,False,81
EVT000503,SHP000503,Delivered,Weather,True,227
EVT000504,SHP000504,Failed,Weather,False,101
EVT000505,SHP000505,Delivered,Address Issue,False,66
EVT000506,SHP000506,Delayed,Address Issue,False,37
EVT000507,SHP000507,Delayed,Customer Unavailable,False,175
EVT000508,SHP000508,Delivered,Address Issue,False,296
EVT000509,SHP000509,Delivered,Address Issue,False,228
EVT000510,SHP000510,Delivered,None,False,173
EVT000511,SHP000511,Delivered,Customer Unavailable,False,114
EVT000512,SHP000512,Delivered,Address Issue,False,160
EVT000513,SHP000513,Delivered,Address Issue,True,29
EVT000514,SHP000514,Delivered,Traffic,False,184
EVT000515,SHP000515,Failed,Customer Unavailable,True,65
EVT000516,SHP000516,Failed,None,True,61
EVT000517,SHP000517,Delivered,Customer Unavailable,True,200
EVT000518,SHP000518,Delivered,None,False,9
EVT000519,SHP000519,Delivered,None,False,21
EVT000520,SHP000520,Delivered,Address Issue,False,194
EVT000521,SHP000521,Delivered,Customer Unavailable,False,277
EVT000522,SHP000522,Delivered,Customer Unavailable,False,243
EVT000523,SHP000523,Delivered,Customer Unavailable,False,252
EVT000524,SHP000524,Delivered,Traffic,False,254
EVT000525,SHP000525,Delivered,Address Issue,False,117
EVT000526,SHP000526,Delivered,None,False,288
EVT000527,SHP000527,Delivered,None,True,187
EVT000528,SHP000528,Delivered,Weather,False,201
EVT000529,SHP000529,Delivered,Address Issue,False,135
EVT000530,SHP000530,Delivered,Address Issue,True,7
EVT000531,SHP000531,Delivered,None,False,297
EVT000532,SHP000532,Delivered,Customer Unavailable,True,209
EVT000533,SHP000533,Delivered,None,False,85
