weather_event_id,city,rainfall_mm,weather_severity,weather_impact_factor
WTH000051,Bangalore,1.72,Low,41
WTH000052,Kolkata,9.03,Low,10
WTH000053,Pune,2.17,Low,8
WTH000054,Ahmedabad,0.72,Low,24
WTH000055,Hyderabad,16.65,Low,6
WTH000056,Kolkata,4.72,Low,25
WTH000057,Hyderabad,10.39,High,74
WTH000058,Pune,1.44,High,83
WTH000059,Bangalore,1.57,Low,30
WTH000060,Kolkata,1.58,Low,44
WTH000061,Pune,0.89,Low,34
WTH000062,Mumbai,0.57,Low,30
WTH000063,Ahmedabad,2.03,High,89
WTH000064,Hyderabad,0.17,Low,25
WTH000065,Ahmedabad,0.46,High,83
WTH000066,Delhi,15.0,Low,12
WTH000067,Delhi,1.85,Low,36
WTH000068,Ahmedabad,0.48,Low,12
WTH000069,Chennai,4.41,Low,28
WTH000070,Kolkata,3.4,Low,22
WTH000071,Pune,7.88,Low,53
WTH000072,Bangalore,1.44,Medium,19
WTH000073,Kolkata,3.39,Low,20
WTH000074,Bangalore,0.37,Low,19
WTH000075,Ahmedabad,2.1,Low,41
WTH000076,Mumbai,9.79,Low,7
WTH000077,Hyderabad,0.12,Medium,56
WTH000078,Kolkata,0.57,Low,56
WTH000079,Chennai,5.25,Low,16
WTH000080,Ahmedabad,6.89,High,85
WTH000081,Bangalore,2.3,Low,28
WTH000082,Mumbai,3.15,Medium,47
WTH000083,Bangalore,1.95,Medium,17
WTH000084,Hyderabad,5.12,Low,45
WTH000085,Pune,1.26,Medium,48
WTH000086,Mumbai,1.43,Medium,30
WTH000087,Kolkata,10.58,Low,18
WTH000088,Chennai,3.11,Low,47
WTH000089,Hyderabad,0.88,Medium,40
WTH000090,Delhi,6.76,Medium,16
WTH000091,Kolkata,1.16,Low,28
WTH000092,Delhi,0.26,Medium,52
WTH000093,Chennai,1.31,Low,23
WTH000094,Pune,6.14,Low,25
WTH000095,Mumbai,1.27,Low,24
WTH000096,Pune,1.21,Medium,5
WTH000097,Bangalore,0.14,Low,16
WTH000098,Kolkata,1.65,Medium,21
WTH000099,Kolkata,1.87,High,65
WTH000100,Chennai,2.07,Low,49
WTH000101,Mumbai,2.43,Low,9
WTH000102,Delhi,7.48,Low,10
WTH000103,Delhi,2.41,Low,15
WTH000104,Mumbai,1.81,Low,43
WTH000105,Kolkata,3.26,Medium,41
WTH000106,Ahmedabad,6.49,Low,28
WTH000107,Delhi,0.42,High,98
WTH000108,Ahmedabad,2.54,Medium,40
WTH000109,Bangalore,3.21,Low,24
WTH000110,Mumbai,1.32,Low,11
WTH000111,Chennai,2.07,Low,7
WTH000112,Kolkata,0.16,Low,8
WTH000113,Delhi,0.17,Low,43
WTH000114,Chennai,0.62,Medium,39
WTH000115,Mumbai,0.12,Medium,10
WTH000116,Bangalore,10.95,Low,33
WTH000117,Hyderabad,8.75,High,66
WTH000118,Mumbai,6.68,Low,37
WTH000119,Bangalore,0.17,Low,11
WTH000120,Pune,1.93,Low,15
WTH000121,Delhi,12.34,Medium,26
WTH000122,Delhi,5.62,Low,17
WTH000123,Ahmedabad,1.72,Low,35
WTH000124,Hyderabad,3.58,Low,48
WTH000125,Ahmedabad,0.0,Medium,52
WTH000126,Mumbai,5.66,Low,21
WTH000127,Bangalore,0.46,Low,17
WTH000128,Kolkata,6.38,Low,31
WTH000129,Hyderabad,2.02,Low,46
WTH000130,Chennai,3.06,Medium,36
WTH000131,Mumbai,0.18,Low,32
WTH000132,Mumbai,3.34,Medium,30
WTH000133,Chennai,1.48,Low,23
WTH000134,Bangalore,1.22,Low,12
WTH000135,Kolkata,0.23,Low,38
WTH000136,Kolkata,1.08,Medium,48
WTH000137,Chennai,0.95,Low,40
WTH000138,Bangalore,10.69,Low,26
WTH000139,Kolkata,6.18,Low,16
WTH000140,Delhi,4.52,Low,51
WTH000141,Hyderabad,4.72,Low,32
WTH000142,Bangalore,1.32,Low,46
WTH000143,Pune,4.39,Low,40
WTH000144,Kolkata,3.25,Low,7
WTH000145,Ahmedabad,0.12,Low,24
WTH000146,Pune,8.68,Low,28
WTH000147,Ahmedabad,0.73,Low,46
WTH000148,Ahmedabad,5.2,High,82
WTH000149,Delhi,3.54,Low,45
WTH000150,Kolkata,7.23,Low,45
WTH000151,Hyderabad,5.8,Medium,59
WTH000152,Mumbai,2.17,Low,42
WTH000153,Kolkata,0.21,Low,17
WTH000154,Delhi,0.71,Medium,11
WTH000155,Ahmedabad,1.97,Medium,52
WTH000156,Pune,6.1,Low,11
WTH000157,Kolkata,7.35,Low,52
WTH000158,Ahmedabad,5.06,Low,34
WTH000159,Pune,1.49,Low,12
WTH000160,Delhi,5.39,High,98
WTH000161,Hyderabad,1.27,Low,25
WTH000162,Chennai,0.62,Low,36
WTH000163,Pune,4.67,Medium,36
WTH000164,Mumbai,4.91,High,81
WTH000165,Hyderabad,2.27,Low,21
WTH000166,Chennai,0.01,Low,50
WTH000167,Kolkata,3.7,Low,6
WTH000168,Pune,0.46,Low,36
WTH000169,Mumbai,7.86,High,94
WTH000170,Ahmedabad,10.55,High,86
WTH000171,Pune,1.03,Medium,51
WTH000172,Ahmedabad,1.35,Low,41
WTH000173,Delhi,3.07,Low,9
WTH000174,Pune,2.89,High,60
WTH000175,Mumbai,2.19,High,89
WTH000176,Chennai,1.0,High,62
WTH000177,Chennai,12.66,Low,39
WTH000178,Delhi,2.75,Low,22
WTH000179,Chennai,7.41,Low,10
WTH000180,Ahmedabad,1.66,Low,8
WTH000181,Hyderabad,1.91,Low,23
WTH000182,Delhi,0.69,Medium,27
WTH000183,Hyderabad,0.59,Low,10
WTH000184,Hyderabad,3.27,Low,51
WTH000185,Mumbai,0.75,Low,23
WTH000186,Bangalore,1.18,Low,5
WTH000187,Chennai,1.6,Low,51
WTH000188,Hyderabad,1.08,Low,36
WTH000189,Pune,5.5,Low,40
WTH000190,Delhi,0.22,Low,31
WTH000191,Bangalore,8.77,High,81
WTH000192,Delhi,2.81,Low,33
WTH000193,Chennai,12.39,High,87
WTH000194,Kolkata,1.53,Low,30
WTH000195,Kolkata,5.44,Low,18
WTH000196,Mumbai,2.14,Low,40
WTH000197,Hyderabad,4.04,Medium,19
WTH000198,Ahmedabad,1.84,Low,36
WTH000199,Delhi,0.47,High,91
WTH000200,Hyderabad,5.82,Medium,59
WTH000201,Kolkata,1.52,Medium,22
WTH000202,Hyderabad,0.5,Low,27
WTH000203,Mumbai,0.89,Low,38
WTH000204,Bangalore,0.95,Medium,55
WTH000205,Delhi,0.97,High,75
WTH000206,Kolkata,3.1,Medium,29
WTH000207,Mumbai,10.16,Medium,27
WTH000208,Pune,4.06,High,97
WTH000209,Mumbai,6.11,Low,34
WTH000210,Chennai,0.56,Low,39
WTH000211,Delhi,2.14,High,68
WTH000212,Hyderabad,0.39,Low,33
WTH000213,Mumbai,14.19,Low,59
WTH000214,Mumbai,0.46,Low,29
WTH000215,Hyderabad,1.46,Low,13
WTH000216,Ahmedabad,2.91,High,65
WTH000217,Bangalore,2.29,Medium,33
WTH000218,Delhi,0.62,Medium,26
WTH000219,Ahmedabad,1.62,High,86
WTH000220,Hyderabad,2.7,Low,56
WTH000221,Pune,0.58,Low,46
WTH000222,Pune,2.86,Medium,36
WTH000223,Hyderabad,0.62,Low,59
WTH000224,Bangalore,3.92,Low,46
WTH000225,Delhi,1.39,Low,35
WTH000226,Pune,9.71,Low,28
WTH000227,Pune,4.32,Medium,30
WTH000228,Chennai,4.33,Low,42
WTH000229,Delhi,3.1,High,82
WTH000230,Chennai,0.32,Low,55
WTH000231,Hyderabad,6.53,Low,15
WTH000232,Kolkata,3.48,Low,5
WTH000233,Ahmedabad,1.15,Low,10
WTH000234,Mumbai,5.63,Low,36
WTH000235,Mumbai,0.07,Low,48
WTH000236,Ahmedabad,16.59,Medium,16
WTH000237,Mumbai,0.76,Low,52
WTH000238,Chennai,5.07,Low,15
WTH000239,Mumbai,1.72,High,97
WTH000240,Kolkata,1.22,Low,59
WTH000241,Pune,8.11,Low,24
WTH000242,Pune,0.28,Low,54
WTH000243,Ahmedabad,3.94,High,69
WTH000244,Delhi,5.77,Low,36
WTH000245,Kolkata,1.71,Low,25
WTH000246,Mumbai,0.73,Low,11
WTH000247,Bangalore,1.81,Low,14
WTH000248,Kolkata,1.9,Low,41
WTH000249,Pune,1.09,Low,34
WTH000250,Hyderabad,3.04,Medium,43
WTH000251,Mumbai,1.67,Low,46
WTH000252,Mumbai,4.23,High,72
WTH000253,Ahmedabad,1.98,Low,45
WTH000254,Hyderabad,1.62,Medium,48
WTH000255,Chennai,0.64,Low,26
WTH000256,Kolkata,4.14,Low,7
WTH000257,Kolkata,0.74,High,99
WTH000258,Hyderabad,0.17,High,80
WTH000259,Delhi,2.9,High,99
WTH000260,Bangalore,4.09,Medium,7
WTH000261,Mumbai,3.83,Low,34
WTH000262,Hyderabad,0.98,Low,6
WTH000263,Bangalore,9.19,Low,23
WTH000264,Hyderabad,5.16,Medium,54
WTH000265,Delhi,0.28,Low,43
WTH000266,Pune,2.03,Medium,45
WTH000267,Hyderabad,3.41,Low,15
WTH000268,Mumbai,2.25,Low,5
WTH000269,Chennai,0.51,Low,14
WTH000270,Pune,5.17,Low,11
WTH000271,Mumbai,3.56,Low,9
WTH000272,Ahmedabad,1.81,Low,47
WTH000273,Hyderabad,3.46,Medium,41
WTH000274,Kolkata,4.73,Low,43
WTH000275,Chennai,10.3,Low,48
WTH000276,Hyderabad,1.48,Low,53
WTH000277,Bangalore,0.37,Low,50
WTH000278,Chennai,3.13,Low,51
WTH000279,Hyderabad,11.24,Medium,48
WTH000280,Pune,3.62,Low,19
WTH000281,Chennai,0.44,Low,54
WTH000282,Kolkata,0.29,Low,38
WTH000283,Mumbai,11.29,Medium,7
WTH000284,Mumbai,0.17,High,79
WTH000285,Delhi,2.47,Low,10
WTH000286,Pune,1.65,Low,49
WTH000287,Mumbai,1.84,Low,42
WTH000288,Ahmedabad,0.4,Medium,45
WTH000289,Ahmedabad,2.84,Low,13
WTH000290,Hyderabad,0.01,Low,52
WTH000291,Chennai,0.89,Low,51
WTH000292,Hyderabad,0.42,Medium,19
WTH000293,Hyderabad,6.5,Low,29
WTH000294,Chennai,8.3,Medium,20
WTH000295,Delhi,1.7,Medium,31
WTH000296,Mumbai,0.25,Low,23
WTH000297,Pune,0.19,Medium,53
WTH000298,Bangalore,8.83,Low,21
WTH000299,Bangalore,3.53,Low,45
WTH000300,Kolkata,3.49,Medium,38
WTH000301,Ahmedabad,10.16,Low,20
WTH000302,Pune,0.37,Low,57
WTH000303,Mumbai,10.55,Low,5
WTH000304,Ahmedabad,1.65,Low,13
WTH000305,Mumbai,4.92,Low,37
WTH000306,Chennai,1.21,Low,32
WTH000307,Chennai,1.55,Low,31
WTH000308,Pune,2.16,Low,36
WTH000309,Chennai,1.49,Medium,8
WTH000310,Chennai,2.42,Low,50
WTH000311,Pune,7.68,Low,14
WTH000312,Kolkata,4.88,Medium,22
WTH000313,Chennai,0.73,Low,13
WTH000314,Ahmedabad,0.4,Low,40
WTH000315,Hyderabad,1.08,Medium,57
WTH000316,Chennai,0.58,Medium,6
WTH000317,Kolkata,6.12,Medium,56
WTH000318,Mumbai,0.79,Low,6
WTH000319,Kolkata,0.43,High,90
WTH000320,Hyderabad,1.51,Medium,46
WTH000321,Ahmedabad,4.34,Low,50
WTH000322,Mumbai,5.11,High,74
WTH000323,Chennai,8.74,Low,36
WTH000324,Pune,4.23,Low,50
WTH000325,Kolkata,2.32,Low,17
WTH000326,Pune,6.02,Low,45
WTH000327,Hyderabad,0.67,Low,6
WTH000328,Kolkata,4.24,Medium,37
WTH000329,Chennai,3.19,Low,33
WTH000330,Bangalore,1.21,Medium,7
WTH000331,Ahmedabad,3.45,Medium,50
WTH000332,Ahmedabad,1.4,Medium,23
WTH000333,Hyderabad,2.26,Low,57
WTH000334,Chennai,7.38,Medium,28
WTH000335,Hyderabad,1.65,Low,42
WTH000336,Pune,1.78,High,98
WTH000337,Chennai,9.52,Medium,17
WTH000338,Hyderabad,0.55,Medium,41
WTH000339,Hyderabad,2.62,Medium,32
WTH000340,Delhi,2.85,Medium,33
WTH000341,Mumbai,6.65,High,89
WTH000342,Bangalore,0.6,Low,18
WTH000343,Mumbai,1.52,Low,19
WTH000344,Kolkata,8.27,Low,48
WTH000345,Chennai,2.61,Medium,11
WTH000346,Ahmedabad,1.99,Medium,39
WTH000347,Kolkata,1.39,Low,59
WTH000348,Kolkata,2.06,High,73
WTH000349,Hyderabad,2.64,Low,14
WTH000350,Mumbai,0.74,High,93
WTH000351,Chennai,0.75,Medium,47
WTH000352,Bangalore,2.36,Low,18
WTH000353,Ahmedabad,2.3,Low,31
WTH000354,Pune,1.24,Medium,48
WTH000355,Bangalore,1.26,Low,52
WTH000356,Ahmedabad,5.49,Low,16
WTH000357,Pune,1.86,Low,53
WTH000358,Mumbai,0.14,Low,41
WTH000359,Delhi,3.99,Medium,18
WTH000360,Pune,0.66,Low,47
WTH000361,Delhi,0.88,Medium,50
WTH000362,Delhi,12.34,Medium,32
WTH000363,Ahmedabad,0.78,Low,46
WTH000364,Hyderabad,2.85,Low,38
WTH000365,Kolkata,5.86,Low,47
WTH000366,Hyderabad,2.03,Low,18
WTH000367,Pune,3.19,Low,13
WTH000368,Hyderabad,0.78,Medium,21
WTH000369,Kolkata,15.39,Low,7
WTH000370,Bangalore,4.18,Medium,45
WTH000371,Mumbai,11.15,Medium,58
WTH000372,Chennai,2.4,Low,14
WTH000373,Delhi,1.06,Medium,25
WTH000374,Delhi,1.29,Low,8
WTH000375,Bangalore,0.06,Low,26
WTH000376,Mumbai,2.13,Low,13
WTH000377,Ahmedabad,4.04,Medium,42
WTH000378,Pune,5.67,Low,38
WTH000379,Kolkata,6.77,Low,32
WTH000380,Pune,5.34,Medium,6
WTH000381,Delhi,8.26,Medium,18
WTH000382,Delhi,2.51,Low,10
WTH000383,Bangalore,1.33,Medium,7
WTH000384,Mumbai,0.52,Low,40
WTH000385,Ahmedabad,10.44,Medium,30
WTH000386,Bangalore,3.89,Low,48
WTH000387,Pune,0.46,High,89
WTH000388,Mumbai,2.54,Low,20
WTH000389,Bangalore,1.89,Low,8
WTH000390,Pune,5.43,Medium,40
WTH000391,Kolkata,1.24,Low,9
WTH000392,Delhi,4.38,High,83
WTH000393,Pune,3.85,Low,28
WTH000394,Chennai,5.88,Low,48
WTH000395,Chennai,1.59,Low,20
WTH000396,Ahmedabad,0.86,Low,30
WTH000397,Chennai,2.26,Low,38
WTH000398,Delhi,4.35,Low,34
WTH000399,Mumbai,7.11,Low,22
WTH000400,Ahmedabad,0.29,Low,46
WTH000401,Hyderabad,4.82,Low,28
WTH000402,Hyderabad,0.4,Low,36
WTH000403,Chennai,3.11,Low,33
WTH000404,Mumbai,0.8,Medium,43
WTH000405,Mumbai,1.81,Low,9
WTH000406,Hyderabad,1.64,Low,29
WTH000407,Kolkata,0.64,Low,32
WTH000408,Hyderabad,0.6,Low,7
WTH000409,Bangalore,1.15,Low,10
WTH000410,Kolkata,3.86,Low,45
WTH000411,Chennai,4.81,Low,39
WTH000412,Bangalore,0.12,Low,15
WTH000413,Mumbai,4.93,Low,16
WTH000414,Bangalore,0.59,Low,9
WTH000415,Bangalore,3.35,Medium,25
WTH000416,Ahmedabad,1.72,Low,21
WTH000417,Bangalore,1.25,Low,35
WTH000418,Ahmedabad,7.48,Low,8
WTH000419,Pune,5.24,High,62
WTH000420,Delhi,3.21,Low,7
WTH000421,Hyderabad,4.67,Low,17
WTH000422,Chennai,2.6,Low,23
WTH000423,Hyderabad,0.8,Low,47
WTH000424,Bangalore,0.87,Low,35
WTH000425,Ahmedabad,0.21,Low,43
WTH000426,Hyderabad,0.92,Medium,21
WTH000427,Chennai,1.36,Medium,30
WTH000428,Pune,3.88,Medium,42
WTH000429,Bangalore,0.74,Medium,56
WTH000430,Kolkata,1.49,Low,30
WTH000431,Hyderabad,1.43,Low,59
WTH000432,Bangalore,1.59,Low,13
WTH000433,Kolkata,0.03,Low,51
WTH000434,Delhi,3.64,Low,20
WTH000435,Hyderabad,1.62,Low,32
WTH000436,Delhi,5.28,Low,40
WTH000437,Chennai,1.23,Medium,27
WTH000438,Chennai,11.64,Low,26
WTH000439,Pune,8.48,Low,40
WTH000440,Bangalore,1.65,Low,49
WTH000441,Mumbai,0.34,Medium,58
WTH000442,Pune,0.63,Low,46
WTH000443,Bangalore,0.83,Low,18
WTH000444,Ahmedabad,2.17,Medium,27
WTH000445,Delhi,3.43,Medium,50
WTH000446,Chennai,3.28,Low,44
WTH000447,Kolkata,1.91,High,62
WTH000448,Ahmedabad,4.56,Low,38
WTH000449,Ahmedabad,3.4,Medium,6
WTH000450,Pune,7.4,Low,51
WTH000451,Pune,2.58,High,96
WTH000452,Pune,1.29,Low,24
WTH000453,Chennai,1.63,High,76
WTH000454,Chennai,0.23,Medium,22
WTH000455,Kolkata,1.83,Medium,56
WTH000456,Delhi,4.14,Medium,47
WTH000457,Ahmedabad,5.25,Low,24
WTH000458,Kolkata,1.88,Low,18
WTH000459,Bangalore,0.97,Low,54
WTH000460,Ahmedabad,0.52,Medium,20
WTH000461,Hyderabad,0.56,Low,10
WTH000462,Delhi,1.24,Medium,47
WTH000463,Hyderabad,1.72,High,61
WTH000464,Ahmedabad,3.48,Low,26
WTH000465,Pune,0.62,Low,18
WTH000466,Delhi,8.58,Low,7
WTH000467,Kolkata,0.35,High,84
WTH000468,Hyderabad,2.42,Low,17
WTH000469,Bangalore,1.31,Low,33
WTH000470,Kolkata,1.95,Low,16
WTH000471,Delhi,0.41,Low,41
WTH000472,Hyderabad,0.63,High,97
WTH000473,Mumbai,0.38,Low,23
WTH000474,Pune,5.5,Low,57
WTH000475,Ahmedabad,3.1,Low,43
WTH000476,Pune,4.34,Low,5
WTH000477,Pune,3.95,Medium,46
WTH000478,Delhi,3.72,Low,27
WTH000479,Pune,1.39,Low,54
WTH000480,Chennai,0.56,Low,19
WTH000481,Chennai,0.61,Low,55
WTH000482,Hyderabad,3.88,Low,44
WTH000483,Pune,0.64,Medium,9
WTH000484,Kolkata,0.72,Low,49
WTH000485,Delhi,1.01,High,67
WTH000486,Kolkata,4.98,Medium,46
WTH000487,Pune,2.61,Medium,41
WTH000488,Kolkata,0.08,Low,12
WTH000489,Bangalore,3.05,Low,53
WTH000490,Bangalore,4.22,High,95
WTH000491,Mumbai,1.44,Medium,34
WTH000492,Ahmedabad,1.81,Low,38
WTH000493,Delhi,3.82,Low,48
WTH000494,Hyderabad,2.75,Medium,46
WTH000495,Ahmedabad,2.4,Low,54
WTH000496,Delhi,5.15,Low,28
WTH000497,Ahmedabad,0.03,Medium,33
WTH000498,Chennai,1.72,Low,28
WTH000499,Kolkata,0.13,Low,21
WTH000500,Mumbai,6.4,High,76
WTH000501,Hyderabad,0.58,High,74
WTH000502,Chennai,0.18,Low,51
WTH000503,Chennai,2.13,Medium,42
WTH000504,Ahmedabad,1.92,Medium,42
WTH000505,Delhi,0.24,Low,33
WTH000506,Hyderabad,1.25,Medium,30
WTH000507,Bangalore,0.98,Low,21
WTH000508,Delhi,3.39,Low,6
WTH000509,Hyderabad,1.91,Low,10
WTH000510,Mumbai,1.45,Low,46
WTH000511,Pune,4.47,Low,10
WTH000512,Bangalore,3.86,Medium,18
WTH000513,Hyderabad,8.92,Low,55
WTH000514,Chennai,1.57,Low,16
WTH000515,Chennai,4.78,Medium,51
WTH000516,Chennai,6.9,Low,56
WTH000517,Ahmedabad,0.01,Low,43
WTH000518,Delhi,2.72,Low,19
WTH000519,Bangalore,5.89,Low,54
WTH000520,Ahmedabad,0.29,Low,34
WTH000521,Bangalore,4.98,Low,58
WTH000522,Chennai,8.03,Low,7
WTH000523,Bangalore,1.85,Low,58
WTH000524,Kolkata,2.4,Low,15
WTH000525,Bangalore,5.8,Low,40
WTH000526,Mumbai,2.83,Low,38
WTH000527,Ahmedabad,2.38,Low,15
WTH000528,Bangalore,8.38,Low,14
WTH000529,Delhi,0.66,Low,59
WTH000530,Bangalore,0.56,Low,10
WTH000531,Bangalore,0.84,Medium,22
WTH000532,Bangalore,4.67,High,82
WTH000533,Chennai,0.74,Low,49
WTH000534,Chennai,1.03,Low,12
WTH000535,Ahmedabad,0.43,Medium,57
WTH000536,Mumbai,8.39,Low,58
WTH000537,Pune,0.27,Low,44
WTH000538,Kolkata,2.84,Low,15
WTH000539,Hyderabad,14.52,Low,25
WTH000540,Chennai,0.76,Low,9
WTH000541,Bangalore,1.32,Medium,47
WTH000542,Mumbai,0.83,Low,29
WTH000543,Delhi,0.03,Medium,35
WTH000544,Delhi,4.3,Medium,23
WTH000545,Kolkata,2.6,Medium,8
WTH000546,Bangalore,2.82,Medium,46
WTH000547,Hyderabad,0.12,Medium,23
WTH000548,Chennai,1.07,Low,46
WTH000549,Bangalore,0.8,Low,16
WTH000550,Chennai,2.51,Low,11
WTH000551,Hyderabad,2.69,Medium,11
WTH000552,Ahmedabad,1.4,Low,57
WTH000553,Bangalore,0.84,Low,38
WTH000554,Chennai,1.43,Low,54
WTH000555,Bangalore,5.94,Low,29
WTH000556,Kolkata,4.63,Medium,35
WTH000557,Hyderabad,1.88,Medium,28
WTH000558,Hyderabad,0.57,Low,17
WTH000559,Delhi,5.15,Low,34
WTH000560,Kolkata,1.53,Low,36
WTH000561,Hyderabad,4.43,Low,46
WTH000562,Hyderabad,0.61,Low,34
WTH000563,Delhi,1.46,Medium,53
WTH000564,Pune,6.66,Medium,58
WTH000565,Kolkata,7.17,Medium,58
WTH000566,Pune,1.2,Low,19
WTH000567,Bangalore,2.37,Low,29
WTH000568,Mumbai,3.76,Low,5
WTH000569,Chennai,2.2,Medium,48
WTH000570,Chennai,3.43,High,71
WTH000571,Pune,0.84,Low,11
WTH000572,Hyderabad,6.58,Low,20
WTH000573,Delhi,4.64,Low,9
WTH000574,Delhi,1.97,Low,43
WTH000575,Ahmedabad,0.9,Medium,44
WTH000576,Pune,2.6,Low,57
WTH000577,Pune,0.73,High,94
WTH000578,Delhi,1.44,Low,44
WTH000579,Ahmedabad,0.58,Low,52
WTH000580,Bangalore,0.5,Low,42
WTH000581,Bangalore,1.41,Low,30
WTH000582,Chennai,1.07,Low,13
WTH000583,Chennai,1.83,High,73
WTH000584,Hyderabad,1.93,Low,30
WTH000585,Mumbai,6.27,Low,49
WTH000586,Ahmedabad,0.71,Low,24
WTH000587,Ahmedabad,0.65,High,98
WTH000588,Kolkata,1.15,Low,48
WTH000589,Hyderabad,3.06,Medium,22
WTH000590,Pune,0.27,Low,44
WTH000591,Ahmedabad,8.21,Low,33
WTH000592,Mumbai,1.8,Low,35
WTH000593,Pune,0.04,Medium,47
WTH000594,Ahmedabad,1.02,Medium,21
WTH000595,Kolkata,3.86,Low,24
WTH000596,Kolkata,0.64,Medium,54
WTH000597,Kolkata,1.2,Low,59
WTH000598,Hyderabad,1.65,Low,18
WTH000599,Delhi,3.16,Low,36
WTH000600,Bangalore,3.32,Low,41
WTH000601,Kolkata,5.63,Low,27
WTH000602,Pune,1.95,Low,14
WTH000603,Ahmedabad,4.56,Low,44
WTH000604,Pune,1.31,Low,43
WTH000605,Pune,0.44,Low,52
WTH000606,Mumbai,0.58,Low,36
WTH000607,Kolkata,1.67,Low,9
WTH000608,Bangalore,1.39,Low,43
WTH000609,Chennai,0.95,High,61
WTH000610,Ahmedabad,3.46,High,76
WTH000611,Chennai,0.48,Medium,49
WTH000612,Pune,3.38,Low,15
WTH000613,Chennai,1.32,Low,45
WTH000614,Bangalore,0.41,Medium,9
WTH000615,Hyderabad,1.09,Low,35
WTH000616,Kolkata,0.25,Medium,59
WTH000617,Bangalore,0.42,Medium,18
WTH000618,Pune,10.99,Low,31
WTH000619,Ahmedabad,0.5,Low,10
WTH000620,Ahmedabad,2.5,Low,21
WTH000621,Delhi,6.77,Low,19
WTH000622,Bangalore,3.6,High,85
WTH000623,Kolkata,5.44,Low,13
WTH000624,Delhi,2.35,Medium,36
WTH000625,Kolkata,0.23,Medium,31
WTH000626,Chennai,4.56,Low,22
WTH000627,Delhi,8.23,Low,50
WTH000628,Delhi,5.14,Low,49
WTH000629,Mumbai,6.16,Medium,49
WTH000630,Chennai,0.01,Medium,31
WTH000631,Bangalore,3.06,Low,25
WTH000632,Chennai,15.4,High,68
WTH000633,Mumbai,3.15,Low,30
WTH000634,Hyderabad,3.85,Medium,18
WTH000635,Chennai,2.37,Low,43
WTH000636,Ahmedabad,2.4,Low,45
WTH000637,Kolkata,0.73,Low,25
WTH000638,Ahmedabad,3.44,Low,22
WTH000639,Mumbai,2.06,Low,15
WTH000640,Pune,0.37,High,71
WTH000641,Delhi,2.53,Low,56
WTH000642,Bangalore,2.05,Medium,19
WTH000643,Chennai,1.99,Medium,11
WTH000644,Ahmedabad,0.85,Low,38
WTH000645,Delhi,0.28,Medium,19
WTH000646,Ahmedabad,5.45,Low,17
WTH000647,Ahmedabad,10.34,Low,31
WTH000648,Mumbai,1.6,Low,35
WTH000649,Kolkata,1.6,Medium,38
WTH000650,Kolkata,9.25,Medium,37
WTH000651,Kolkata,1.34,Low,16
WTH000652,Hyderabad,15.71,Low,56
WTH000653,Kolkata,0.75,Low,20
WTH000654,Hyderabad,0.84,Low,40
WTH000655,Bangalore,3.79,Low,26
WTH000656,Chennai,5.65,Low,52
WTH000657,Pune,3.49,High,84
WTH000658,Ahmedabad,2.64,Low,17
WTH000659,Chennai,0.63,High,60
WTH000660,Hyderabad,1.55,Low,34
WTH000661,Kolkata,7.71,Low,22
WTH000662,Chennai,9.71,Medium,26
