resource_id,resource_type,vehicle_type,max_load_kg,emission_factor_gkm,area_familiarity_score,historical_success_rate
RES000155,Vehicle,Bike,659.62,123.23,74,0.91
RES000156,Rider,Bike,318.0,317.73,71,0.89
RES000157,Rider,Truck,771.88,166.39,99,0.75
RES000158,Vehicle,Truck,975.7,184.0,53,0.86
RES000159,Rider,Bike,963.25,191.75,40,0.84
RES000160,Rider,Bike,679.48,101.43,67,0.71
RES000161,Rider,Van,696.88,94.46,44,0.78
RES000162,Vehicle,Van,486.28,319.68,73,0.77
RES000163,Rider,Bike,388.39,186.65,31,0.97
RES000164,Vehicle,Truck,211.8,90.65,38,0.93
RES000165,Vehicle,Van,496.71,64.46,71,0.91
RES000166,Rider,Bike,195.26,332.52,90,0.78
RES000167,Rider,Bike,545.35,82.33,78,0.94
RES000168,Vehicle,Bike,204.44,261.12,99,0.91
RES000169,Vehicle,Truck,899.87,115.95,55,0.91
RES000170,Vehicle,Truck,612.97,271.18,42,0.72
RES000171,Vehicle,Truck,507.39,159.71,94,0.87
RES000172,Rider,Van,194.91,284.07,91,0.95
RES000173,Rider,Van,564.18,328.64,32,0.9
RES000174,Rider,Bike,140.68,255.47,62,0.87
RES000175,Vehicle,Van,746.55,193.14,72,0.9
RES000176,Rider,Van,619.11,246.43,47,0.79
RES000177,Rider,Bike,492.92,334.98,97,0.74
RES000178,Vehicle,Truck,424.97,147.17,54,0.96
RES000179,Vehicle,Truck,527.58,148.01,33,0.89
RES000180,Vehicle,Bike,516.62,190.32,86,0.72
RES000181,Rider,Van,628.45,111.57,45,0.97
RES000182,Rider,Van,567.17,140.37,93,0.9
RES000183,Vehicle,Van,17.0,349.27,38,0.73
RES000184,Rider,Truck,337.77,327.3,88,0.89
RES000185,Vehicle,Truck,75.82,73.68,91,0.89
RES000186,Vehicle,Van,165.62,155.62,89,0.74
RES000187,Rider,Truck,351.73,191.04,43,0.76
RES000188,Rider,Bike,954.38,125.85,80,0.71
RES000189,Rider,Bike,474.35,76.29,70,0.88
RES000190,Rider,Truck,880.66,264.06,94,0.86
RES000191,Vehicle,Van,715.5,302.97,99,0.86
RES000192,Rider,Bike,206.11,343.9,75,0.72
RES000193,Rider,Van,895.44,308.76,85,0.73
RES000194,Rider,Truck,993.65,344.67,89,0.87
RES000195,Vehicle,Truck,684.12,289.12,76,0.75
RES000196,Rider,Bike,438.04,289.9,53,0.83
RES000197,Rider,Bike,852.45,226.97,87,0.87
RES000198,Vehicle,Bike,266.27,177.57,62,0.7
RES000199,Rider,Truck,592.2,220.96,31,0.92
RES000200,Vehicle,Van,330.19,290.57,88,0.89
RES000201,Vehicle,Truck,760.34,171.75,85,0.72
RES000202,Rider,Bike,35.13,134.65,90,0.84
RES000203,Rider,Bike,757.24,262.07,90,0.77
RES000204,Vehicle,Truck,808.13,335.05,37,0.7
RES000205,Vehicle,Van,604.62,118.79,88,0.91
RES000206,Rider,Truck,878.64,201.72,39,0.97
RES000207,Vehicle,Bike,735.49,112.5,45,0.81
RES000208,Rider,Truck,138.04,242.46,75,0.92
RES000209,Rider,Truck,304.49,333.14,35,0.71
RES000210,Rider,Truck,948.7,205.82,52,0.86
RES000211,Rider,Bike,315.25,345.22,84,0.91
RES000212,Rider,Van,220.91,209.62,97,0.93
RES000213,Vehicle,Bike,816.31,70.0,63,0.74
RES000214,Vehicle,Bike,754.13,143.72,80,0.86
RES000215,Vehicle,Bike,247.3,180.03,59,0.96
RES000216,Rider,Truck,491.43,294.0,72,0.78
RES000217,Vehicle,Bike,410.57,196.74,60,0.96
RES000218,Rider,Bike,123.04,269.62,33,0.9
RES000219,Vehicle,Van,757.8,299.51,38,0.88
RES000220,Rider,Bike,58.9,320.3,40,0.95
RES000221,Vehicle,Van,969.45,265.98,81,0.83
RES000222,Vehicle,Bike,489.22,110.82,44,0.7
RES000223,Rider,Van,23.32,240.96,46,0.87
RES000224,Vehicle,Van,330.99,273.73,45,0.89
RES000225,Rider,Van,786.1,170.59,47,0.81
RES000226,Rider,Truck,507.0,210.69,70,0.7
RES000227,Vehicle,Van,716.43,300.17,99,0.8
RES000228,Rider,Truck,285.54,171.56,59,0.96
RES000229,Vehicle,Van,794.51,307.87,89,0.95
RES000230,Rider,Bike,771.5,66.79,67,0.76
RES000231,Rider,Truck,100.12,215.55,83,0.87
RES000232,Vehicle,Truck,612.1,322.17,96,0.96
RES000233,Rider,Truck,277.23,231.06,94,0.73
RES000234,Rider,Van,511.17,268.82,66,0.86
RES000235,Vehicle,Bike,956.64,300.68,91,0.73
RES000236,Rider,Van,195.04,311.07,97,0.9
RES000237,Vehicle,Van,868.28,173.53,80,0.96
RES000238,Vehicle,Truck,516.32,129.3,97,0.73
RES000239,Vehicle,Truck,282.15,70.03,37,0.76
RES000240,Rider,Truck,133.04,283.71,37,0.75
RES000241,Rider,Bike,480.86,168.24,36,0.72
RES000242,Vehicle,Truck,801.14,76.49,59,0.91
RES000243,Rider,Truck,554.41,280.22,65,0.78
RES000244,Vehicle,Bike,998.2,297.15,79,0.8
RES000245,Vehicle,Truck,536.95,179.73,96,0.92
RES000246,Vehicle,Van,325.55,197.48,94,0.79
RES000247,Rider,Truck,414.61,97.93,81,0.96
RES000248,Vehicle,Van,350.02,298.3,41,0.84
RES000249,Rider,Van,619.4,169.75,66,0.87
RES000250,Vehicle,Van,193.38,91.17,89,0.89
RES000251,Vehicle,Bike,596.41,348.36,94,0.88
RES000252,Rider,Truck,831.35,199.39,71,0.84
RES000253,Vehicle,Truck,72.82,341.71,37,0.76
RES000254,Vehicle,Truck,355.54,94.57,31,0.78
RES000255,Vehicle,Van,332.04,241.37,57,0.81
RES000256,Vehicle,Van,320.51,290.85,68,0.92
RES000257,Rider,Van,158.02,65.79,57,0.76
RES000258,Vehicle,Truck,339.69,191.31,46,0.83
RES000259,Vehicle,Truck,319.05,60.88,68,0.83
RES000260,Vehicle,Van,897.3,132.52,38,0.73
RES000261,Vehicle,Truck,291.53,216.07,30,0.89
RES000262,Rider,Bike,560.4,269.36,82,0.76
RES000263,Rider,Bike,882.81,328.93,89,0.88
RES000264,Vehicle,Truck,205.2,344.11,96,0.74
RES000265,Rider,Bike,119.21,132.35,72,0.73
RES000266,Vehicle,Bike,854.09,279.0,87,0.79
RES000267,Rider,Bike,959.08,237.84,83,0.94
RES000268,Vehicle,Van,746.28,197.49,77,0.73
RES000269,Vehicle,Van,619.85,321.5,32,0.83
RES000270,Vehicle,Truck,127.06,207.76,59,0.93
RES000271,Vehicle,Truck,308.6,269.7,55,0.98
RES000272,Vehicle,Van,510.42,174.17,91,0.98
RES000273,Rider,Truck,127.66,84.32,53,0.92
RES000274,Rider,Bike,270.11,188.28,53,0.79
RES000275,Vehicle,Van,20.94,249.98,81,0.94
RES000276,Rider,Van,624.0,191.96,83,0.71
RES000277,Vehicle,Bike,11.32,302.45,30,0.71
RES000278,Vehicle,Bike,622.75,255.49,41,0.8
RES000279,Rider,Truck,662.57,103.63,34,0.83
RES000280,Rider,Bike,136.85,71.39,92,0.75
RES000281,Vehicle,Van,722.74,108.04,78,0.86
RES000282,Rider,Bike,987.71,232.89,90,0.74
RES000283,Vehicle,Truck,982.53,318.93,93,0.73
RES000284,Vehicle,Van,418.69,109.49,34,0.7
RES000285,Vehicle,Truck,602.59,180.22,46,0.95
RES000286,Vehicle,Bike,57.36,335.12,68,0.95
RES000287,Rider,Truck,384.02,291.48,54,0.91
RES000288,Vehicle,Bike,574.24,288.03,66,0.81
RES000289,Rider,Truck,481.4,331.95,96,0.85
RES000290,Vehicle,Van,181.3,94.08,63,0.8
RES000291,Vehicle,Bike,474.66,219.38,65,0.86
RES000292,Vehicle,Bike,546.09,83.19,87,0.9
RES000293,Vehicle,Truck,252.62,299.31,50,0.9
RES000294,Vehicle,Bike,557.31,233.26,93,0.73
RES000295,Rider,Bike,452.34,206.19,55,0.72
RES000296,Vehicle,Van,855.45,210.47,44,0.85
RES000297,Vehicle,Truck,459.5,237.95,57,0.9
RES000298,Rider,Truck,420.94,73.04,30,0.87
RES000299,Rider,Van,703.28,126.55,43,0.93
RES000300,Vehicle,Van,971.08,254.61,37,0.81
RES000301,Rider,Bike,766.97,258.83,32,0.76
RES000302,Rider,Bike,903.18,68.85,86,0.81
RES000303,Vehicle,Bike,309.38,115.42,69,0.71
RES000304,Rider,Van,575.72,150.03,60,0.74
RES000305,Rider,Bike,29.83,104.74,36,0.91
RES000306,Vehicle,Truck,866.23,278.59,46,0.83
RES000307,Rider,Bike,687.85,298.37,94,0.75
RES000308,Vehicle,Bike,132.22,187.66,87,0.73
RES000309,Vehicle,Bike,926.03,290.69,73,0.92
RES000310,Vehicle,Van,283.52,122.05,79,0.87
RES000311,Vehicle,Truck,563.88,300.34,34,0.79
RES000312,Rider,Van,309.49,193.22,63,0.73
RES000313,Rider,Van,367.55,146.15,43,0.86
RES000314,Vehicle,Truck,697.0,258.81,33,0.77
RES000315,Rider,Truck,259.32,163.11,33,0.71
RES000316,Vehicle,Bike,55.16,280.18,45,0.71
RES000317,Rider,Bike,87.11,263.56,65,0.92
RES000318,Vehicle,Van,426.75,225.68,36,0.94
RES000319,Rider,Van,40.05,308.49,76,0.88
RES000320,Vehicle,Bike,981.93,76.47,40,0.96
RES000321,Rider,Truck,223.36,129.53,61,0.96
RES000322,Vehicle,Van,122.05,163.48,41,0.89
RES000323,Vehicle,Bike,986.51,285.57,46,0.9
RES000324,Vehicle,Bike,269.79,318.87,91,0.8
RES000325,Vehicle,Van,888.18,136.75,35,0.91
RES000326,Rider,Van,286.99,346.94,56,0.74
RES000327,Rider,Truck,834.73,191.06,45,0.87
RES000328,Vehicle,Bike,161.71,288.38,95,0.93
RES000329,Vehicle,Truck,269.74,337.55,92,0.87
RES000330,Vehicle,Bike,846.42,342.82,30,0.89
RES000331,Rider,Van,981.07,192.18,79,0.89
RES000332,Vehicle,Truck,991.17,183.79,53,0.79
RES000333,Vehicle,Van,464.42,301.73,75,0.74
RES000334,Rider,Van,231.98,142.18,82,0.75
RES000335,Rider,Truck,194.63,285.09,90,0.95
RES000336,Vehicle,Truck,616.43,136.62,34,0.89
RES000337,Vehicle,Bike,784.75,210.48,54,0.85
RES000338,Rider,Bike,248.89,195.78,75,0.86
RES000339,Rider,Van,578.01,166.88,33,0.97
RES000340,Vehicle,Van,240.24,145.83,69,0.79
RES000341,Rider,Van,30.67,123.79,59,0.91
RES000342,Vehicle,Truck,287.55,214.9,64,0.74
RES000343,Rider,Truck,818.58,85.1,52,0.89
RES000344,Rider,Bike,900.69,95.34,49,0.96
RES000345,Rider,Van,423.41,203.71,83,0.75
RES000346,Rider,Truck,341.75,344.84,30,0.93
RES000347,Rider,Truck,759.56,194.02,52,0.9
RES000348,Vehicle,Bike,120.12,108.89,89,0.8
RES000349,Vehicle,Truck,231.88,148.86,52,0.8
RES000350,Rider,Bike,970.32,127.29,50,0.81
RES000351,Vehicle,Truck,86.99,160.71,62,0.8
RES000352,Vehicle,Van,56.64,327.83,52,0.76
RES000353,Rider,Truck,19.66,64.36,73,0.88
RES000354,Rider,Truck,234.32,338.04,97,0.92
RES000355,Vehicle,Van,815.83,308.09,74,0.91
RES000356,Rider,Van,383.63,197.64,67,0.97
RES000357,Vehicle,Truck,232.15,121.51,70,0.83
RES000358,Vehicle,Bike,51.0,308.97,75,0.74
RES000359,Vehicle,Bike,935.62,60.91,40,0.77
RES000360,Rider,Truck,890.51,238.1,54,0.79
RES000361,Rider,Van,899.98,322.13,54,0.82
RES000362,Vehicle,Van,710.95,345.11,39,0.87
RES000363,Rider,Truck,721.3,62.68,38,0.75
RES000364,Rider,Van,630.1,190.94,35,0.97
RES000365,Vehicle,Bike,654.08,349.21,43,0.75
RES000366,Vehicle,Truck,121.94,248.93,48,0.87
RES000367,Rider,Van,509.95,238.58,35,0.74
RES000368,Vehicle,Bike,202.04,206.18,85,0.7
RES000369,Vehicle,Van,188.86,139.87,50,0.76
RES000370,Vehicle,Van,494.47,63.72,34,0.98
RES000371,Vehicle,Van,70.1,78.7,63,0.78
RES000372,Rider,Truck,633.51,125.98,66,0.98
RES000373,Vehicle,Van,583.13,196.33,38,0.92
RES000374,Vehicle,Truck,180.92,240.55,62,0.96
RES000375,Vehicle,Bike,952.77,255.57,43,0.78
RES000376,Vehicle,Bike,523.22,146.27,53,0.88
RES000377,Vehicle,Van,747.08,237.98,30,0.75
RES000378,Rider,Truck,473.6,302.01,55,0.83
RES000379,Rider,Van,403.26,215.77,87,0.91
RES000380,Vehicle,Van,724.59,240.0,73,0.75
RES000381,Vehicle,Bike,52.94,241.29,76,0.83
RES000382,Vehicle,Van,694.92,195.74,34,0.8
RES000383,Vehicle,Bike,924.41,134.92,43,0.96
RES000384,Vehicle,Van,601.19,117.51,81,0.73
RES000385,Vehicle,Van,78.98,99.99,69,0.74
RES000386,Vehicle,Bike,271.15,265.91,37,0.74
RES000387,Vehicle,Van,985.16,72.0,90,0.93
RES000388,Vehicle,Van,58.64,142.62,44,0.74
RES000389,Vehicle,Bike,155.37,72.75,55,0.87
RES000390,Vehicle,Bike,697.1,307.93,92,0.95
RES000391,Vehicle,Bike,461.33,97.23,92,0.83
RES000392,Vehicle,Truck,746.88,229.22,87,0.71
RES000393,Vehicle,Van,951.64,143.73,44,0.96
RES000394,Vehicle,Bike,123.24,75.78,37,0.83
RES000395,Rider,Truck,645.11,208.03,64,0.93
RES000396,Rider,Truck,637.79,192.19,32,0.78
RES000397,Vehicle,Bike,483.34,268.05,77,0.87
RES000398,Rider,Bike,292.85,316.03,90,0.79
RES000399,Rider,Bike,298.65,197.91,89,0.88
RES000400,Vehicle,Van,142.45,83.3,97,0.71
RES000401,Vehicle,Van,765.66,111.32,34,0.89
RES000402,Vehicle,Van,558.11,60.89,54,0.88
RES000403,Rider,Bike,46.68,245.26,45,0.75
RES000404,Vehicle,Bike,7.91,223.02,88,0.97
RES000405,Vehicle,Bike,856.58,332.84,45,0.91
RES000406,Rider,Truck,305.3,219.67,87,0.87
RES000407,Rider,Van,570.89,61.42,63,0.87
RES000408,Vehicle,Truck,71.9,106.3,86,0.78
RES000409,Vehicle,Bike,378.29,234.67,61,0.89
RES000410,Rider,Truck,726.17,264.9,87,0.71
RES000411,Rider,Van,781.73,76.31,82,0.71
RES000412,Rider,Bike,566.88,278.26,56,0.87
RES000413,Rider,Van,767.84,163.53,58,0.83
RES000414,Rider,Truck,936.67,227.98,93,0.78
RES000415,Rider,Bike,96.15,298.79,56,0.96
RES000416,Rider,Van,256.67,97.78,84,0.82
RES000417,Rider,Van,84.43,126.3,73,0.89
RES000418,Vehicle,Bike,963.51,335.52,94,0.98
RES000419,Rider,Van,339.47,267.97,73,0.89
RES000420,Rider,Van,986.71,109.36,54,0.75
RES000421,Vehicle,Van,7.78,256.86,92,0.92
RES000422,Rider,Truck,167.68,200.64,63,0.97
RES000423,Vehicle,Bike,52.66,201.58,95,0.85
RES000424,Vehicle,Truck,484.08,245.31,63,0.84
RES000425,Rider,Van,609.15,244.43,53,0.84
RES000426,Rider,Van,921.8,109.03,73,0.96
RES000427,Vehicle,Truck,617.41,167.22,72,0.98
RES000428,Rider,Truck,552.95,257.89,50,0.74
RES000429,Vehicle,Bike,13.67,311.73,84,0.8
RES000430,Vehicle,Truck,371.3,224.4,76,0.74
RES000431,Rider,Truck,988.46,195.92,43,0.78
RES000432,Vehicle,Truck,105.98,216.29,66,0.96
RES000433,Rider,Van,81.11,246.43,53,0.82
RES000434,Vehicle,Truck,196.61,236.58,82,0.8
RES000435,Rider,Bike,436.35,68.47,82,0.87
RES000436,Rider,Bike,120.2,150.96,99,0.86
RES000437,Rider,Bike,588.6,148.6,99,0.97
RES000438,Rider,Van,580.57,212.04,35,0.72
RES000439,Rider,Van,628.9,77.63,46,0.93
RES000440,Rider,Bike,69.84,94.3,36,0.71
RES000441,Rider,Van,909.41,99.4,91,0.75
RES000442,Rider,Van,115.22,122.22,75,0.84
RES000443,Vehicle,Van,11.92,197.26,93,0.72
RES000444,Vehicle,Bike,27.36,168.71,34,0.77
RES000445,Vehicle,Bike,950.29,206.22,56,0.92
RES000446,Vehicle,Bike,483.96,278.3,63,0.83
RES000447,Rider,Bike,628.08,311.2,54,0.79
RES000448,Rider,Bike,272.13,73.26,67,0.76
RES000449,Vehicle,Van,290.98,256.38,97,0.98
RES000450,Vehicle,Van,38.45,309.13,42,0.77
RES000451,Rider,Van,283.12,254.15,48,0.89
RES000452,Vehicle,Bike,891.85,190.41,77,0.78
RES000453,Vehicle,Van,516.31,331.4,51,0.96
RES000454,Vehicle,Bike,686.6,301.06,56,0.91
RES000455,Vehicle,Truck,488.71,163.15,34,0.8
RES000456,Vehicle,Van,580.32,280.28,31,0.85
RES000457,Rider,Van,68.11,271.37,35,0.75
RES000458,Vehicle,Truck,867.36,317.63,44,0.73
RES000459,Vehicle,Van,977.48,158.63,92,0.8
RES000460,Vehicle,Truck,648.72,304.52,62,0.86
RES000461,Vehicle,Truck,243.36,325.28,52,0.96
RES000462,Rider,Truck,887.84,231.4,31,0.76
RES000463,Vehicle,Van,317.15,141.77,57,0.84
RES000464,Vehicle,Bike,668.4,234.03,44,0.83
RES000465,Vehicle,Truck,727.9,251.47,83,0.78
RES000466,Rider,Bike,710.47,266.92,72,0.96
RES000467,Vehicle,Truck,45.83,229.33,43,0.79
RES000468,Vehicle,Bike,629.44,137.8,57,0.88
RES000469,Rider,Van,455.47,333.02,47,0.84
RES000470,Rider,Van,62.46,139.88,65,0.95
RES000471,Vehicle,Truck,560.18,99.16,36,0.88
RES000472,Vehicle,Bike,478.71,98.25,75,0.84
RES000473,Vehicle,Bike,90.0,126.58,65,0.79
RES000474,Vehicle,Bike,977.59,279.52,76,0.75
RES000475,Rider,Bike,738.75,304.37,73,0.95
RES000476,Vehicle,Bike,812.37,238.29,94,0.72
RES000477,Vehicle,Truck,922.32,274.05,85,0.93
RES000478,Rider,Bike,989.0,68.07,89,0.74
RES000479,Vehicle,Bike,652.57,87.44,66,0.71
RES000480,Vehicle,Van,558.89,281.9,86,0.77
RES000481,Vehicle,Truck,29.47,283.61,55,0.81
RES000482,Rider,Bike,758.8,64.52,50,0.91
RES000483,Rider,Truck,495.13,131.43,70,0.81
RES000484,Vehicle,Bike,214.48,113.92,40,0.92
RES000485,Vehicle,Truck,550.01,143.75,94,0.78
RES000486,Rider,Truck,64.37,229.99,96,0.8
RES000487,Vehicle,Bike,170.74,212.33,39,0.77
RES000488,Rider,Van,213.7,330.03,45,0.83
RES000489,Vehicle,Van,181.84,326.19,57,0.77
RES000490,Rider,Van,499.62,156.44,90,0.75
RES000491,Rider,Truck,596.79,64.87,51,0.81
RES000492,Rider,Van,693.86,301.62,63,0.82
RES000493,Vehicle,Bike,911.14,151.3,44,0.89
RES000494,Rider,Van,458.33,247.71,71,0.91
RES000495,Vehicle,Truck,623.78,77.13,33,0.76
RES000496,Rider,Van,422.15,207.06,92,0.76
RES000497,Vehicle,Van,145.13,111.21,43,0.79
RES000498,Vehicle,Van,311.91,208.09,43,0.88
RES000499,Vehicle,Van,764.83,328.68,73,0.96
