timestamp,event_type,details,weights_changed,confidence_adjusted,insights,weight_updates,address_adjustment,override_effectiveness,total_shipments,learning_signals
2026-01-09T17:13:38.295328,override_effectiveness_analysis,"{""weights_changed"": false, ""confidence_adjusted"": false, ""insights"": """", ""override_success_rate"": 0.6666666666666666, ""ai_success_rate"": 0.7142857142857143}",False,False,,,,,,
2026-01-09T17:13:38.322065,weight_adjustment,"{""adjustments"": {""address_risk"": {""old"": 19, ""new"": 20, ""reason"": ""High-risk failures detected (2 cases)""}, ""weather_risk"": {""old"": 24, ""new"": 25, ""reason"": ""Failure rate 100.0% in high-risk shipments""}, ""weight_risk"": {""old"": 6, ""new"": 5, ""reason"": ""High low-risk success rate (4 cases)""}}, ""weights_changed"": true, ""high_risk_failures"": 2, ""low_risk_success"": 4}",True,False,,,,,,
2026-01-09T17:13:38.334432,address_confidence_adjustment,"{""confidence_adjusted"": true, ""affected_shipments"": 4, ""success_rate"": ""66.7%"", ""insights"": ""Address confidence scoring is too pessimistic. Consider relaxing landmark requirements.""}",False,True,Address confidence scoring is too pessimistic. Consider relaxing landmark requirements.,,,,,
2026-01-09T17:13:38.345665,override_effectiveness_analysis,"{""weights_changed"": false, ""confidence_adjusted"": false, ""insights"": """", ""override_success_rate"": 0.6666666666666666, ""ai_success_rate"": 0.7142857142857143}",False,False,,,,,,
2026-01-09T17:13:38.352632,daily_learning_cycle,"{""weights_changed"": true, ""confidence_adjusted"": true, ""insights"": ""Weights: 3 adjustments | Address: Relax address confidence thresholds or improve landmark detection | Overrides: 0.67""}",True,True,Weights: 3 adjustments | Address: Relax address confidence thresholds or improve landmark detection | Overrides: 0.67,,,,,
2026-01-09T17:13:38.375239,weight_adjustment,"{""adjustments"": {""address_risk"": {""old"": 20, ""new"": 21, ""reason"": ""High-risk failures detected (2 cases)""}, ""weather_risk"": {""old"": 25, ""new"": 26, ""reason"": ""Failure rate 100.0% in high-risk shipments""}}, ""weights_changed"": true, ""high_risk_failures"": 2, ""low_risk_success"": 4}",True,False,,,,,,
2026-01-09T17:13:38.387106,address_confidence_adjustment,"{""confidence_adjusted"": true, ""affected_shipments"": 4, ""success_rate"": ""66.7%"", ""insights"": ""Address confidence scoring is too pessimistic. Consider relaxing landmark requirements.""}",False,True,Address confidence scoring is too pessimistic. Consider relaxing landmark requirements.,,,,,
2026-01-09T17:13:38.393353,override_effectiveness_analysis,"{""weights_changed"": false, ""confidence_adjusted"": false, ""insights"": """", ""override_success_rate"": 0.6666666666666666, ""ai_success_rate"": 0.7142857142857143}",False,False,,,,,,
2026-01-09T17:13:38.399773,daily_learning_cycle,"{""weights_changed"": true, ""confidence_adjusted"": true, ""insights"": ""Weights: 2 adjustments | Address: Relax address confidence thresholds or improve landmark detection | Overrides: 0.67""}",True,True,Weights: 2 adjustments | Address: Relax address confidence thresholds or improve landmark detection | Overrides: 0.67,,,,,
2026-01-09T17:33:26.069031,,,,,,"{""original_weights"": {""cod_risk"": 15, ""address_risk"": 15, ""weather_risk"": 20, ""area_risk"": 15, ""weight_risk"": 10}, ""adjustments"": {""cod_risk"": 1, ""address_risk"": 2, ""weather_risk"": 2, ""area_risk"": 1, ""weight_risk"": -1}, ""updated_weights"": {""cod_risk"": 16, ""address_risk"": 17, ""weather_risk"": 22, ""area_risk"": 16, ""weight_risk"": 9}, ""learning_signals"": {""high_risk_failures"": 2, ""low_risk_successes"": 6, ""missed_risks"": 1}}",2.0,0.67,12.0,"{""high_risk_failures"": 2, ""low_risk_successes"": 6, ""missed_risks"": 1}"
2026-01-09T17:33:44.765323,,,,,,"{""original_weights"": {""cod_risk"": 15, ""address_risk"": 15, ""weather_risk"": 20, ""area_risk"": 15, ""weight_risk"": 10}, ""adjustments"": {""cod_risk"": 1, ""address_risk"": 2, ""weather_risk"": 2, ""area_risk"": 1, ""weight_risk"": -1}, ""updated_weights"": {""cod_risk"": 16, ""address_risk"": 17, ""weather_risk"": 22, ""area_risk"": 16, ""weight_risk"": 9}, ""learning_signals"": {""high_risk_failures"": 2, ""low_risk_successes"": 6, ""missed_risks"": 1}}",2.0,0.67,12.0,"{""high_risk_failures"": 2, ""low_risk_successes"": 6, ""missed_risks"": 1}"
